10,20,0,0.08261394500732422,7.127171039581299
10,8,1,10.028613090515137,25.189987897872925
10,20,1,10.03357219696045,45.278486013412476
10,4,0,1.019050121307373,56.3473379611969
10,4,0,1.0190708637237549,65.39809608459473
10,8,1,10.022291898727417,83.45061612129211
10,4,0,1.0191850662231445,94.53190493583679
10,8,1,10.031950950622559,112.59353494644165
10,4,1,10.02787709236145,132.67467999458313
10,8,1,10.022608041763306,152.75246500968933
10,20,1,10.022734880447388,172.88631105422974
10,20,1,10.024595022201538,192.97210812568665
10,4,1,10.022969007492065,213.05435395240784
10,8,1,10.022442102432251,233.1372001171112
10,4,0,1.0189969539642334,244.21728610992432
10,20,1,10.023016929626465,262.27170491218567
10,20,1,10.027184009552002,282.3592851161957
10,8,1,10.022521018981934,302.4381968975067
10,8,1,10.026134967803955,322.5269410610199
10,20,1,10.022572994232178,342.6070499420166
10,8,0,1.019083023071289,353.68701791763306
10,4,0,1.0201489925384521,362.7389450073242
10,20,1,10.02216386795044,380.7911100387573
10,4,0,1.0356900691986084,391.8863570690155
10,20,1,10.022273063659668,409.9410960674286
14,8,1,14.026721000671387,440.9121949672699
14,20,1,14.023810863494873,460.99232006073
14,4,0,1.0189728736877441,468.0710620880127
14,20,1,14.028183937072754,486.13036012649536
14,8,0,1.0194289684295654,493.20526695251465
14,4,0,1.0196309089660645,498.2556700706482
14,4,0,1.0192389488220215,503.3047790527344
14,20,1,14.024125099182129,521.3603239059448
14,8,0,1.0240521430969238,528.4436249732971
14,8,0,1.0191841125488281,533.4892120361328
14,4,0,1.0192389488220215,538.5391299724579
14,20,1,14.031775951385498,556.6018860340118
14,4,0,1.0189850330352783,563.6727509498596
14,8,0,1.01932692527771,568.723207950592
14,4,0,1.0195481777191162,573.7735970020294
14,20,1,14.024281024932861,591.8279991149902
14,20,1,14.023650169372559,611.9111850261688
14,8,0,1.0191409587860107,618.9903891086578
14,20,1,14.019089937210083,637.0403649806976
14,4,0,1.0217630863189697,644.1098170280457
14,4,0,1.0192878246307373,649.1577610969543
14,8,0,1.0193819999694824,654.2079911231995
14,20,1,14.023895978927612,672.2626791000366
14,8,0,1.019284963607788,679.341803073883
14,20,1,14.02377200126648,697.3960571289062
14,20,1,14.023680925369263,717.4798691272736
14,8,0,1.0189580917358398,724.560065984726
14,4,0,1.0200278759002686,729.611072063446
14,4,0,1.019624948501587,734.6610491275787
14,8,0,1.0216469764709473,739.7126789093018
14,4,0,1.0216491222381592,744.7630259990692
14,4,0,1.0224552154541016,749.8150169849396
14,8,0,1.0193500518798828,754.8608479499817
14,8,0,1.0190980434417725,759.9107389450073
14,20,1,14.02355694770813,777.965646982193
14,20,1,14.023802042007446,798.0490500926971
14,4,0,1.0198490619659424,805.1292309761047
14,8,0,1.0200748443603516,810.1791410446167
14,4,0,1.0194129943847656,815.228523015976
14,8,0,1.0199480056762695,820.2789940834045
14,20,1,14.023332118988037,838.333123922348
2,8,0,1.0190999507904053,851.727292060852
2,8,1,2.0194571018218994,869.7783579826355
2,4,0,1.019474983215332,888.8450031280518
2,20,1,2.019829034805298,906.9626820087433
2,20,1,2.019335985183716,927.0455410480499
2,4,1,2.019334077835083,947.1124219894409
2,4,1,2.01965594291687,967.1801331043243
2,20,1,2.019659996032715,987.2636110782623
2,4,0,1.0199940204620361,1006.3545250892639
2,8,1,2.0194520950317383,1024.4143300056458
2,8,1,2.0192391872406006,1044.4976840019226
2,20,1,2.0238609313964844,1064.5689239501953
2,8,1,2.0239992141723633,1084.6532080173492
2,8,1,2.0193490982055664,1104.7320120334625
2,4,1,2.0194990634918213,1124.7989649772644
2,20,1,2.0264220237731934,1144.873253107071
2,20,1,2.019831895828247,1164.95187997818
2,4,0,1.019136905670166,1184.0344500541687
2,4,0,1.0200188159942627,1201.0853080749512
2,8,1,2.019620895385742,1219.1355850696564
2,20,1,2.0201351642608643,1239.2200729846954
2,8,1,2.030183792114258,1259.396985054016
0,0,0,0,1276.8293509483337
10,20,1,10.022454023361206,1313.4882409572601
10,4,0,1.0191090106964111,1324.5688610076904
10,8,1,10.021167039871216,1342.6199080944061
10,4,0,1.0212490558624268,1353.704586982727
10,8,0,1.020137071609497,1362.7537469863892
10,20,1,10.022618055343628,1380.806039094925
10,4,0,1.018846035003662,1391.8866589069366
10,20,1,10.022432088851929,1409.9400219917297
10,4,0,1.0193419456481934,1421.0210299491882
10,8,0,1.0193090438842773,1430.070811033249
10,20,1,10.022654056549072,1448.1230919361115
10,8,0,1.0196459293365479,1459.2047860622406
10,20,1,10.022308111190796,1477.257777929306
10,4,0,1.0195770263671875,1488.3386509418488
10,8,0,1.021496057510376,1497.39066696167
10,8,0,1.019291877746582,1506.4386200904846
10,20,1,10.022127151489258,1524.491837978363
10,4,0,1.0192279815673828,1535.5723268985748
10,8,0,1.0239078998565674,1544.6272480487823
10,20,1,10.022536039352417,1562.6760771274567
10,20,1,10.02243709564209,1582.7600300312042
10,4,0,1.0192110538482666,1593.8399729728699
10,4,0,1.0194058418273926,1602.8916149139404
10,8,0,1.0192348957061768,1611.9415020942688
10,20,1,10.017098903656006,1629.9901371002197
10,8,0,1.022597074508667,1641.0624558925629
10,20,1,10.034037113189697,1659.121510028839
10,4,0,1.0190210342407227,1670.1917300224304
10,4,0,1.0192859172821045,1679.2427399158478
10,8,0,1.0199329853057861,1688.2934310436249
10,20,1,10.02217411994934,1706.3456540107727
14,8,0,1.018923044204712,1723.9584538936615
14,20,1,14.023695945739746,1742.013333082199
14,8,0,1.0191521644592285,1749.0924270153046
