2,10,1,0.8572299480438232,2.0010290145874023,9.058998823165894,0,57,3
2,10,1,0,2.0014359951019287,9.059404850006104,Reward,0,0
2,10,1,0.6983489990234375,2.0169081687927246,29.152798891067505,0,59,5
2,10,1,0,2.017979145050049,29.15386986732483,Reward,0,0
2,5,1,0.9942331314086914,2.00055193901062,49.21351599693298,0,58,4
2,5,1,0,2.001668930053711,49.21463179588318,Reward,0,0
2,5,0,0.3284029960632324,0.33190298080444336,67.60451984405518,0,1,3
2,5,0,0,0.33206987380981445,67.60468578338623,Quit,0,0
2,25,1,0.44774293899536133,2.0012128353118896,85.64929795265198,0,58,5
2,25,1,0,2.0023488998413086,85.65043377876282,Reward,0,0
2,25,2,0.8546271324157715,2.0179240703582764,105.72663283348083,0,57,7
2,25,2,0,2.018170118331909,105.72687792778015,Forced travel,0,0
2,25,1,0.8614509105682373,2.001343011856079,123.7694787979126,0,58,1
2,25,1,0,2.002392053604126,123.77052593231201,Reward,0,0
2,10,1,0.6165239810943604,2.001552104949951,143.83005285263062,0,58,4
2,10,1,0,2.0027079582214355,143.83120799064636,Reward,0,0
2,5,0,0.23223209381103516,0.2557649612426758,162.1449728012085,0,0,3
2,5,0,0,0.25592494010925293,162.14513182640076,Quit,0,0
2,10,2,1.0000720024108887,2.0002779960632324,180.18240690231323,0,57,7
2,10,2,0,2.0013158321380615,180.18344378471375,Forced travel,0,0
2,25,1,0.6664679050445557,2.0012850761413574,198.22529578208923,0,58,1
2,25,1,0,2.0023880004882812,198.22639894485474,Reward,0,0
2,5,0,0.3125019073486328,0.3182339668273926,216.60284686088562,0,1,1
2,5,0,0,0.31839489936828613,216.6030077934265,Quit,0,0
2,10,1,0.8173928260803223,2.0004889965057373,234.64444279670715,0,57,1
2,10,1,0,2.0015830993652344,234.64553594589233,Reward,0,0
2,5,2,1.0001158714294434,2.001175880432129,254.70497798919678,0,57,0
2,5,2,0,2.001436948776245,254.705237865448,Forced travel,0,0
2,25,1,0.967540979385376,2.001258134841919,272.74761986732483,0,58,0
2,25,1,0,2.002311944961548,272.74867391586304,Reward,0,0
2,10,1,0.7338099479675293,2.0002450942993164,292.8081557750702,0,57,0
2,10,1,0,2.001293182373047,292.8092029094696,Reward,0,0
2,25,1,0.5831880569458008,2.0174429416656494,312.88584995269775,0,59,7
2,25,1,0,2.017717123031616,312.88612389564514,Reward,0,0
2,5,0,0.24640917778015137,0.24999499320983887,331.19500494003296,0,1,3
2,5,0,0,0.25066304206848145,331.1956629753113,Quit,0,0
2,5,0,0.3850209712982178,0.4082028865814209,347.64586997032166,0,0,1
2,5,0,0,0.4088010787963867,347.64646792411804,Quit,0,0
2,5,1,0.5650460720062256,2.0011870861053467,365.6801037788391,0,58,1
2,5,1,0,2.0014610290527344,365.6803767681122,Reward,0,0
2,25,1,0.5345368385314941,2.001239061355591,385.7405958175659,0,58,5
2,25,1,0,2.0022809505462646,385.74163794517517,Reward,0,0
2,10,2,0.8218941688537598,2.0012779235839844,405.8012249469757,0,57,1
2,10,2,0,2.001555919647217,405.80150294303894,Forced travel,0,0
14,25,1,0.737299919128418,1.9999020099639893,428.8797678947449,0,57,6
14,25,1,0.5838909149169922,4.001227855682373,430.8810999393463,0,58,3
14,25,1,0.7489299774169922,6.00223183631897,432.88209891319275,0,58,5
14,25,1,0.4817650318145752,8.0033118724823,434.88317799568176,0,58,7
14,25,1,0.5199289321899414,10.004340887069702,436.8842079639435,0,58,7
14,25,2,0.9967639446258545,12.0054349899292,438.8853008747101,0,58,6
14,25,1,0.6139190196990967,14.006442785263062,440.8863089084625,0,58,6
14,25,1,0,14.006716966629028,440.8865818977356,Reward,0,0
14,5,0,0.2829580307006836,0.28500986099243164,447.2252187728882,0,2,6
14,5,0,0,0.28517794609069824,447.22538685798645,Quit,0,0
14,10,2,1.0000548362731934,2.0002729892730713,453.25930285453796,0,57,2
14,10,1,0.6412360668182373,4.001375913619995,455.2604057788849,0,57,3
14,10,1,0.46474385261535645,6.002558946609497,457.2615888118744,0,58,3
14,10,1,0.6637580394744873,8.003604888916016,459.2626349925995,0,58,3
14,10,1,0.6315629482269287,10.004703998565674,461.2637348175049,0,58,7
14,10,1,0.49295902252197266,12.006911039352417,463.2659418582916,0,58,7
14,10,2,1.0001099109649658,13.990113019943237,465.24914288520813,0,56,7
14,10,2,0,13.990356922149658,465.24938583374023,Forced travel,0,0
14,5,0,0.25345611572265625,0.2569539546966553,469.5420308113098,0,1,3
14,5,0,0,0.25756406784057617,469.54264092445374,Quit,0,0
14,10,0,0.19951295852661133,0.20144200325012207,473.77202677726746,0,2,2
14,10,0,0,0.2016921043395996,473.77227687835693,Quit,0,0
14,25,1,0.7133660316467285,2.001145124435425,479.8066818714142,0,58,6
14,25,1,0.7217810153961182,4.002125978469849,481.8076629638672,0,57,5
14,25,1,0.6801390647888184,6.003191947937012,483.80872893333435,0,58,1
14,25,1,0.5046899318695068,8.004401922225952,485.8099389076233,0,58,4
14,25,1,0.44574499130249023,10.005465030670166,487.8110017776489,0,58,4
14,25,1,0.9655148983001709,12.006526947021484,489.8120639324188,0,58,5
14,25,1,0.6978991031646729,14.007568120956421,491.8131048679352,0,58,0
14,25,1,0,14.007833003997803,491.81336998939514,Reward,0,0
14,25,1,0.5339670181274414,2.0014190673828125,499.8673508167267,0,58,4
14,25,1,0.5787529945373535,4.002270936965942,501.8682029247284,0,58,0
14,25,1,0.4976389408111572,6.003270149230957,503.86920189857483,0,58,6
14,25,1,0.5639500617980957,8.004369020462036,505.8703007698059,0,58,2
