sub,cond,date,V1,Cost,Handling,Offer,Choice,RT,ExpTime,ResponseType,Block,BlockType,HandleTime,TravelTime,condCode
109,wait,14032019,53,WAIT,10,20,1,10.0166070461273,835.973465919495,Reward,2,1,12,8,1
109,phys,14032019,54,GRIP,10,4,0,0.814090967178345,846.023790836334,OfferQuit,2,1,12,8,3
109,wait,14032019,55,WAIT,10,20,1,10.0175001621246,869.907372951508,Reward,3,0,12,8,1
109,cogTask,14032019,56,COGNITIVE,10,20,1,10.0002439022064,889.957900047302,Reward,3,0,12,8,2
109,wait,14032019,57,WAIT,10,8,1,10.0168569087982,910.024729013443,Reward,3,0,12,8,1
109,wait,14032019,58,WAIT,10,4,0,0.605956792831421,920.075085878372,OfferQuit,3,0,12,8,1
109,cogTask,14032019,59,COGNITIVE,10,4,0,0.62634801864624,928.108321905136,OfferQuit,3,0,12,8,2
109,cogTask,14032019,60,COGNITIVE,10,8,1,10.0005288124084,946.142348051071,Reward,3,0,12,8,2
109,cogTask,14032019,61,COGNITIVE,10,4,0,0.61705207824707,956.192178964615,OfferQuit,3,0,12,8,2
109,wait,14032019,62,WAIT,10,4,0,0.476559162139893,964.225488901138,OfferQuit,3,0,12,8,1
109,wait,14032019,63,WAIT,10,20,1,10.0168309211731,982.275766849518,Reward,3,0,12,8,1
109,cogTask,14032019,64,COGNITIVE,10,8,0,1.35724091529846,992.325633049011,OfferQuit,3,0,12,8,2
109,wait,14032019,65,WAIT,10,8,0,0.729423046112061,1000.35907888412,OfferQuit,3,0,12,8,1
109,cogTask,14032019,66,COGNITIVE,10,20,1,10.0006020069122,1018.39339804649,Reward,3,0,12,8,2
109,cogTask,14032019,67,COGNITIVE,10,20,1,10.0005450248718,1038.44343400002,Reward,3,0,12,8,2
109,wait,14032019,68,WAIT,10,20,1,10.0171749591827,1058.51008892059,Reward,3,0,12,8,1
109,wait,14032019,69,WAIT,10,4,0,0.491866827011108,1068.56048798561,OfferQuit,3,0,12,8,1
109,cogTask,14032019,70,COGNITIVE,10,4,0,0.566184997558594,1076.6938958168,OfferQuit,3,0,12,8,2
109,wait,14032019,71,WAIT,10,8,0,0.980373859405518,1084.72700285912,OfferQuit,3,0,12,8,1
109,cogTask,14032019,72,COGNITIVE,10,8,0,0.614521026611328,1092.760627985,OfferQuit,3,0,12,8,2
109,wait,14032019,73,WAIT,10,8,1,10.0169949531555,1110.81103801727,Reward,3,0,12,8,1
109,wait,14032019,74,WAIT,10,4,0,0.487208843231201,1120.86077785492,OfferQuit,3,0,12,8,1
109,cogTask,14032019,75,COGNITIVE,10,4,0,0.563534021377563,1128.8944568634,OfferQuit,3,0,12,8,2
109,wait,14032019,76,WAIT,10,20,1,10.0172162055969,1146.9447619915,Reward,3,0,12,8,1
109,cogTask,14032019,77,COGNITIVE,10,20,1,10.0004739761353,1166.99524497986,Reward,3,0,12,8,2
109,cogTask,14032019,78,COGNITIVE,10,8,1,10.0002710819244,1187.04568600655,Reward,3,0,12,8,2
109,cogTask,14032019,79,COGNITIVE,10,4,0,0.707597970962524,1197.09540295601,OfferQuit,3,0,12,8,2
109,wait,14032019,80,WAIT,10,8,1,10.0170900821686,1215.14573788643,Reward,3,0,12,8,1
109,wait,14032019,81,WAIT,10,4,0,0.686830043792725,1225.19560790062,OfferQuit,3,0,12,8,1
