"","Handling","Offer","Choice","RT","Experiment.Time","Block"
"1",2,4,1,2.02466702461243,9.08743000030518,1
"2",2,20,1,2.02599191665649,29.1728749275208,1
"3",2,4,0,1.02232980728149,48.2524230480194,1
"4",2,8,1,2.02486085891724,66.3050420284271,1
"5",2,20,1,2.02326107025146,86.3872201442719,1
"6",2,8,0,1.02104902267456,105.518211126328,1
"7",2,20,1,2.02494287490845,123.572493076324,1
"8",2,8,1,2.02338600158691,143.6544880867,1
"9",2,8,0,1.02090096473694,162.735177993774,1
"10",2,20,1,2.02672290802002,180.791449069977,1
"11",2,4,0,1.02247500419617,199.870628118515,1
"12",2,4,0,1.02110981941223,216.919433116913,1
"13",2,4,0,1.0222601890564,233.970730066299,1
"14",2,20,1,2.02688479423523,252.02520608902,1
"15",2,8,1,2.02531409263611,272.107243061066,1
"16",2,8,1,2.02643084526062,292.191956043243,1
"17",2,4,0,1.02269601821899,311.27308011055,1
"18",2,20,1,2.02405500411987,329.324348926544,1
"19",2,20,1,2.02456307411194,349.408226013184,1
"20",2,4,0,1.02115297317505,368.488362073898,1
"21",2,4,0,1.02109789848328,385.538566112518,1
"22",2,8,0,1.02137589454651,402.589144945145,1
"23",2,8,1,2.02463102340698,420.642286062241,1
"24",14,8,1,14.0324878692627,459.399599075317,2
"25",14,20,1,14.0258300304413,479.476045131683,2
"26",14,8,1,14.0330319404602,499.566659927368,2
"27",14,20,1,14.0245859622955,519.641752004623,2
"28",14,4,0,1.0218870639801,526.722414970398,2
"29",14,4,0,1.02150106430054,531.772496938705,2
"30",14,20,1,14.0306279659271,549.831443071365,2
"31",14,8,0,1.02218198776245,556.906162023544,2
"32",14,4,0,1.02143287658691,561.955634117126,2
"33",14,20,1,14.0308561325073,580.01487994194,2
"34",14,4,0,1.0205090045929,587.088088989258,2
"35",14,8,0,1.0229229927063,592.140471935272,2
"36",14,8,0,1.02222514152527,597.190114974976,2
"37",14,20,1,14.0175678730011,615.235510110855,2
"38",14,20,1,14.0265810489655,635.31128692627,2
"39",14,4,0,1.02172303199768,642.389672040939,2
"40",14,8,0,1.02222490310669,647.44034910202,2
"41",14,4,0,1.02260804176331,652.490982055664,2
"42",14,4,0,1.02231383323669,657.540749073029,2
"43",14,20,1,14.0257937908173,675.594134092331,2
"44",14,4,0,1.02319192886353,682.674811124802,2
"45",14,8,0,1.02242517471313,687.724128007889,2
"46",14,20,1,14.02965092659,705.781662940979,2
"47",14,8,0,1.02259707450867,712.857838153839,2
"48",14,20,1,14.0292599201202,730.914142131805,2
"49",14,8,0,1.02185082435608,737.990709066391,2
"50",14,4,0,1.02200794219971,743.042176008224,2
"51",14,8,0,1.02258801460266,748.092700004578,2
"52",14,20,1,14.0289669036865,766.149176120758,2
"53",14,4,0,1.02098894119263,773.224749088287,2
"54",14,8,0,1.02177095413208,778.275521993637,2
"55",14,4,0,1.02127003669739,783.324975967407,2
"56",14,8,0,1.0222749710083,788.376070976257,2
"57",14,20,1,14.0204651355743,806.424206018448,2
"58",14,4,0,1.02017498016357,813.507573127747,2
"59",14,20,1,14.0307190418243,831.568108081818,2
"60",14,8,0,1.02210307121277,838.643413066864,2
"61",14,4,0,1.02309894561768,843.693985939026,2
"62",14,4,0,1.02092099189758,848.741894960403,2
"63",14,8,0,1.02159810066223,853.792165994644,2
"64",10,8,1,10.0181798934937,874.120929956436,3
"65",10,4,0,1.0211808681488,885.191228151321,3
"66",10,8,0,1.02198791503906,894.242071151733,3
"67",10,20,1,10.032989025116,912.303136110306,3
"68",10,20,1,10.0217921733856,932.37543797493,3
"69",10,4,0,1.01913213729858,943.456223011017,3
"70",10,8,0,1.02198696136475,952.509221076965,3
"71",10,4,0,1.02104091644287,961.558223962784,3
"72",10,4,0,1.02263689041138,970.610064029694,3
"73",10,20,1,10.0330710411072,988.670622110367,3
"74",10,20,1,10.0194039344788,1008.74040198326,3
"75",10,8,0,1.02102494239807,1019.8088619709,3
"76",10,4,0,1.02090692520142,1028.85886502266,3
"77",10,20,1,10.0339438915253,1046.92165613174,3
"78",10,4,0,1.02324986457825,1057.99454593658,3
"79",10,8,0,1.02184700965881,1067.04339313507,3
"80",10,8,1,10.0208358764648,1085.09253406525,3
"81",10,20,1,10.0326099395752,1105.18767309189,3
"82",10,8,0,1.02242708206177,1116.26095700264,3
"83",10,8,1,10.0208029747009,1134.30938816071,3
"84",10,4,0,1.02167510986328,1145.39406299591,3
"85",10,4,0,1.02164316177368,1154.44388699532,3
"86",10,20,1,10.0188000202179,1172.49116301537,3
"87",10,20,1,10.0306360721588,1192.56963205338,3
"88",10,20,1,10.0337889194489,1212.7563419342,3
"89",10,20,1,10.0176439285278,1232.82367992401,3
"90",10,8,0,1.02071380615234,1243.89360308647,3
"91",10,4,0,1.0213029384613,1252.9444539547,3
"92",10,8,1,10.0310788154602,1271.00535011292,3
"93",2,4,0,1.02277898788452,1292.57886695862,4
"94",2,8,1,2.02239203453064,1310.63063812256,4
"95",2,8,1,2.02435612678528,1330.71452593803,4
"96",2,20,1,2.02638006210327,1350.80017900467,4
"97",2,20,1,2.02571296691895,1370.88284897804,4
"98",2,4,1,2.02408599853516,1390.96477413177,4
"99",2,4,1,2.02451086044312,1411.0488960743,4
"100",2,8,1,2.02663397789001,1431.13427495956,4
"101",2,8,1,2.0267231464386,1451.2179210186,4
"102",2,20,1,2.02551007270813,1471.30039596558,4
"103",2,20,1,2.02520298957825,1491.38352608681,4
"104",2,4,1,2.02505493164062,1511.4830429554,4
"105",2,20,1,2.02332496643066,1531.56526303291,4
"106",2,20,1,2.02366185188293,1551.64905810356,4
"107",2,8,1,2.02388405799866,1571.73264813423,4
"108",2,8,1,2.02567410469055,1591.81796002388,4
"109",2,4,1,2.02643799781799,1611.90228509903,4
"110",2,4,1,2.02430295944214,1631.98361110687,4
"111",2,8,1,2.02226710319519,1652.06503295898,4
"112",2,4,1,2.02560901641846,1672.15203404427,4
"113",2,8,1,2.02464389801025,1692.35108208656,4
"114",14,8,0,1.01975393295288,1718.02945899963,5
"115",14,20,1,14.0328299999237,1736.09261894226,5
"116",14,4,0,1.02259802818298,1743.16617703438,5
"117",14,20,1,14.0209109783173,1761.21465110779,5
"118",14,4,0,1.02099299430847,1768.29805803299,5
"119",14,8,0,1.0205090045929,1773.3476960659,5
"120",14,4,0,1.01915502548218,1778.39636492729,5
"121",14,20,1,14.0273380279541,1796.45472502708,5
"122",14,8,0,1.01969718933105,1803.53048706055,5
"123",14,8,0,1.02180409431458,1808.58266997337,5
"124",14,4,0,1.02272701263428,1813.63368010521,5
"125",14,20,1,14.0274801254272,1831.68728303909,5
"126",14,4,0,1.0218198299408,1838.76611208916,5
"127",14,8,0,1.02136301994324,1843.81572914124,5
"128",14,4,0,1.02160692214966,1848.86621212959,5
"129",14,20,1,14.0294010639191,1866.92394900322,5
"130",14,8,0,1.02261686325073,1874.0005941391,5
"131",14,20,1,14.0248260498047,1892.05295014381,5
"132",14,8,0,1.02256298065186,1899.13415503502,5
"133",14,20,1,14.0335109233856,1917.1952059269,5
"134",14,4,0,1.01932787895203,1924.26429414749,5
"135",14,20,1,14.0288009643555,1942.32400393486,5
"136",14,4,0,1.02281594276428,1949.40158510208,5
"137",14,8,0,1.02200412750244,1954.45064997673,5
"138",14,8,0,1.02281785011292,1959.5016541481,5
"139",14,20,1,14.0325050354004,1977.56121706963,5
"140",14,4,0,1.0214250087738,1984.6337249279,5
"141",14,4,0,1.02190804481506,1989.68387508392,5
