"","Handling","Offer","Choice","RT","Experiment.Time","Block"
"1",2,20,1,2.00066208839417,9.05696201324463,1
"2",2,20,2,2.01584720611572,29.1394240856171,1
"3",2,4,1,2.00002002716064,47.173506975174,1
"4",2,8,1,1.99949598312378,67.2229790687561,1
"5",2,8,1,2.00040602684021,87.2736639976501,1
"6",2,4,1,1.99982500076294,107.323229074478,1
"7",2,8,1,1.99914407730103,127.372591018677,1
"8",2,8,1,2.00007200241089,147.42351102829,1
"9",2,4,1,2.00133514404297,167.474790096283,1
"10",2,4,1,2.01716709136963,187.540466070175,1
"11",2,20,1,2.01621508598328,207.606203079224,1
"12",2,20,1,2.01797699928284,227.674772977829,1
"13",2,4,1,2.00008201599121,247.723527193069,1
"14",2,8,1,1.99946594238281,267.772782087326,1
"15",2,4,1,2.00025510787964,287.823615074158,1
"16",2,8,1,2.00051188468933,307.873826980591,1
"17",2,20,1,1.99949598312378,327.92249417305,1
"18",2,20,1,2.00030207633972,347.973556041718,1
"19",2,8,1,2.01692390441895,368.040168046951,1
"20",2,4,1,2.0161190032959,388.105918169022,1
"21",2,20,1,1.99946904182434,408.156031131744,1
"22",10,20,1,9.99916195869446,442.339313983917,2
"23",10,8,1,9.99934315681458,462.388965129852,2
"24",10,4,1,9.99941992759705,482.439285039902,2
"25",10,8,1,10.0171749591827,502.507081031799,2
"26",10,20,1,9.99979591369629,522.555876016617,2
"27",10,4,1,10.0164210796356,542.622579097748,2
"28",10,4,1,10.0160448551178,562.689194202423,2
"29",10,20,1,9.99883484840393,582.738919973373,2
"30",10,8,1,10.0168070793152,602.80699300766,2
"31",10,4,1,10.0161790847778,622.872282028198,2
"32",10,8,1,10.000659942627,642.922470092773,2
"33",10,20,2,10.0169298648834,662.989144086838,2
"34",10,8,1,9.99952292442322,681.022274017334,2
"35",10,8,1,9.99915504455566,701.072178125381,2
"36",10,20,1,10.0153849124908,721.138840198517,2
"37",10,20,1,10.0159549713135,741.205777168274,2
"38",10,4,1,9.99861192703247,761.255048036575,2
"39",10,4,1,9.99933004379272,781.305492162704,2
"40",10,4,1,9.99915504455566,801.355448007584,2
"41",10,20,1,10.0159771442413,821.422325134277,2
"42",10,8,1,9.99888300895691,841.472360134125,2
"43",14,20,1,13.9991409778595,871.122073173523,3
"44",14,8,1,14.016047000885,892.790647983551,3
"45",14,20,1,13.9997072219849,912.840664148331,3
"46",14,8,1,14.0008959770203,932.891748189926,3
"47",14,4,1,13.9992771148682,952.94033908844,3
"48",14,4,1,13.9992170333862,972.990343093872,3
"49",14,8,1,14.015928030014,993.056977033615,3
"50",14,20,1,13.9991600513458,1013.10703516006,3
"51",14,4,1,13.9995260238647,1033.157102108,3
"52",14,4,1,13.9991328716278,1053.20669317245,3
"53",14,8,1,14.0004119873047,1073.25806713104,3
"54",14,20,1,13.9995110034943,1093.3069319725,3
"55",14,4,1,13.999575138092,1113.35716509819,3
"56",14,20,1,13.9995038509369,1133.40715718269,3
"57",14,8,1,13.999363899231,1153.4569041729,3
"58",14,4,1,13.9993360042572,1173.50720119476,3
"59",14,8,1,13.9991638660431,1193.55690097809,3
"60",14,20,1,13.9996271133423,1213.60713005066,3
"61",14,20,2,12.0157968997955,1231.6735470295,3
"62",14,8,1,13.9994339942932,1249.70714902878,3
"63",14,4,1,14.0002479553223,1269.75794100761,3
"64",2,8,1,1.99953103065491,1501.29052400589,4
"65",2,20,1,2.00022482872009,1521.34097218513,4
"66",2,20,1,2.01679301261902,1541.40745306015,4
"67",2,8,1,1.99965000152588,1561.45691013336,4
"68",2,4,1,1.99946618080139,1581.506909132,4
"69",2,4,1,2.01694583892822,1601.57415699959,4
"70",2,20,1,1.99991083145142,1621.62356519699,4
"71",2,20,1,2.01697087287903,1641.69105601311,4
"72",2,8,1,2.01665687561035,1661.75744199753,4
"73",2,8,1,2.00062203407288,1681.80797719955,4
"74",2,4,1,2.00134992599487,1701.85870218277,4
"75",2,4,2,2.00075197219849,1721.90756201744,4
"76",2,20,1,2.01578593254089,1739.95652508736,4
"77",2,8,1,2.00052690505981,1760.00753116608,4
"78",2,4,1,2.00139403343201,1780.05872297287,4
