sub,cond,date,V1,Handling,Offer,Choice,RT,Experiment.Time,Block,HandleTime,TravelTime,condCode
058,wait,29052018,69,14,8,0,0.367641925811768,838.452414035797,2,16,4,1
058,wait,29052018,70,14,4,0,0.385343074798584,842.868849992752,2,16,4,1
058,wait,29052018,71,14,20,1,14.0154039859772,860.916831970215,2,16,4,1
058,wait,29052018,72,2,4,1,2.01513695716858,875.200106143951,3,4,16,1
058,wait,29052018,73,2,4,1,2.01528000831604,895.266849040985,3,4,16,1
058,wait,29052018,74,2,20,1,2.01551604270935,915.333492994308,3,4,16,1
058,wait,29052018,75,2,8,1,2.0152759552002,935.400107145309,3,4,16,1
058,wait,29052018,76,2,8,1,2.01542091369629,955.466840982437,3,4,16,1
058,wait,29052018,77,2,20,1,2.01537704467773,975.533481121063,3,4,16,1
058,wait,29052018,78,2,8,1,2.01540493965149,1004.83182311058,3,4,16,1
058,wait,29052018,79,2,4,0,0.266847133636475,1023.15005207062,3,4,16,1
058,wait,29052018,80,2,4,1,2.01539993286133,1041.1984641552,3,4,16,1
058,wait,29052018,81,2,20,1,2.01535201072693,1061.26509809494,3,4,16,1
058,wait,29052018,82,2,8,1,2.01519799232483,1081.33170008659,3,4,16,1
058,wait,29052018,83,2,20,1,2.01543402671814,1101.39847803116,3,4,16,1
058,wait,29052018,84,2,4,0,0.31797194480896,1119.76740503311,3,4,16,1
058,wait,29052018,85,2,20,1,2.01534795761108,1137.81505417824,3,4,16,1
058,wait,29052018,86,2,20,1,2.01540994644165,1157.88172698021,3,4,16,1
058,wait,29052018,87,2,8,1,2.01526808738708,1177.94835996628,3,4,16,1
058,wait,29052018,88,2,8,1,2.01530003547668,1198.01503610611,3,4,16,1
058,wait,29052018,89,2,4,0,0.334452867507935,1216.400796175,3,4,16,1
058,wait,29052018,90,2,8,1,2.01526999473572,1234.44835710526,3,4,16,1
058,wait,29052018,91,2,20,1,2.01547694206238,1254.51503896713,3,4,16,1
058,wait,29052018,92,2,4,0,0.268461942672729,1272.83455514908,3,4,16,1
058,wait,29052018,93,10,4,0,2.05090689659119,1312.96701598167,4,12,8,1
058,wait,29052018,94,10,4,0,0.834154844284058,1321.83348417282,4,12,8,1
058,wait,29052018,95,10,8,1,10.0152580738068,1339.8816921711,4,12,8,1
058,wait,29052018,96,10,20,1,10.0152320861816,1359.94840407372,4,12,8,1
058,wait,29052018,97,10,20,1,10.0154139995575,1380.01501607895,4,12,8,1
058,wait,29052018,98,10,8,0,0.600736141204834,1390.66719508171,4,12,8,1
058,wait,29052018,99,10,20,1,10.0154049396515,1408.7150080204,4,12,8,1
058,wait,29052018,100,10,20,1,10.0147068500519,1428.78092098236,4,12,8,1
058,wait,29052018,101,10,4,0,0.319084167480469,1439.15100812912,4,12,8,1
058,wait,29052018,102,10,8,0,0.401236057281494,1447.58320999146,4,12,8,1
058,wait,29052018,103,10,8,1,10.0153589248657,1465.63167095184,4,12,8,1
058,wait,29052018,104,10,4,0,0.367358922958374,1476.05034899712,4,12,8,1
058,wait,29052018,105,10,4,0,0.351135969161987,1484.43409705162,4,12,8,1
058,wait,29052018,106,10,20,1,10.0153141021729,1502.48165106773,4,12,8,1
058,wait,29052018,107,10,20,1,10.0153160095215,1522.5482749939,4,12,8,1
058,wait,29052018,108,10,8,0,0.367603063583374,1532.96736502647,4,12,8,1
058,wait,29052018,109,10,8,0,0.317095041275024,1541.31661605835,4,12,8,1
058,wait,29052018,110,10,4,0,0.317358016967773,1549.66651010513,4,12,8,1
058,wait,29052018,111,10,4,0,0.300945043563843,1558.00038099289,4,12,8,1
