"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"1","WAIT",10,4,0,1.18853712081909,7.03959798812866,"OfferQuit",1,0
"2","COGNITIVE",10,20,1,10.000892162323,25.0743229389191,"Reward",1,0
"3","COGNITIVE",10,4,0,1.24021697044373,35.1239998340607,"OfferQuit",1,0
"4","COGNITIVE",10,8,1,10.0007479190826,53.1581568717957,"Reward",1,0
"5","WAIT",10,20,1,10.0170521736145,73.224545955658,"Reward",1,0
"6","WAIT",10,8,1,10.0163288116455,93.2915019989014,"Reward",1,0
"7","COGNITIVE",10,20,1,10.0021479129791,113.343333005905,"Reward",1,0
"8","WAIT",10,4,1,10.0170180797577,133.458691835403,"Reward",1,0
"9","COGNITIVE",10,8,1,10.0010511875153,153.509511947632,"Reward",1,0
"10","WAIT",10,20,1,10.0175371170044,173.575971841812,"Reward",1,0
"11","COGNITIVE",10,4,0,1.13519382476807,183.62624502182,"OfferQuit",1,0
"12","WAIT",10,8,1,10.0167818069458,201.676059961319,"Reward",1,0
"13","COGNITIVE",10,4,0,0.852447032928467,211.726256847382,"OfferQuit",1,0
"14","WAIT",10,20,1,10.0166070461273,229.776417016983,"Reward",1,0
"15","WAIT",10,8,1,10.0166130065918,249.843444824219,"Reward",1,0
"16","COGNITIVE",10,8,1,10.0009670257568,269.894464969635,"Reward",1,0
"17","COGNITIVE",10,20,1,10.0005309581757,289.944739818573,"Reward",1,0
"18","WAIT",10,4,0,0.948455095291138,299.994273900986,"OfferQuit",1,0
"19","COGNITIVE",10,20,1,10.0182662010193,318.045907974243,"Reward",1,0
"20","COGNITIVE",10,4,0,1.24639105796814,328.094826936722,"OfferQuit",1,0
"21","WAIT",10,4,0,0.769244909286499,336.128476858139,"OfferQuit",1,0
"22","WAIT",10,20,1,10.0166840553284,354.17843580246,"Reward",1,0
"23","COGNITIVE",10,8,1,10.0017650127411,374.230201005936,"Reward",1,0
"24","WAIT",10,8,1,10.0167489051819,394.295480012894,"Reward",1,0
"25","COGNITIVE",10,20,1,10.0018520355225,414.34734582901,"Reward",1,0
"26","GRIP",10,4,0,0.918120861053467,430.312430858612,"OfferQuit",2,1
"27","WAIT",10,8,1,10.0167140960693,448.36293888092,"Reward",2,1
"28","GRIP",10,20,1,10.0206508636475,468.433231830597,"Reward",2,1
"29","WAIT",10,20,1,10.017049074173,488.497129917145,"Reward",2,1
"30","WAIT",10,4,1,10.0170090198517,508.564023017883,"Reward",2,1
"31","GRIP",10,8,0,1.93998289108276,518.61385679245,"OfferQuit",2,1
"32","GRIP",10,8,0,0.874320983886719,526.647595882416,"OfferQuit",2,1
"33","WAIT",10,4,0,1.60279583930969,534.680821895599,"OfferQuit",2,1
"34","GRIP",10,20,1,10.0209910869598,552.735369920731,"Reward",2,1
"35","GRIP",10,4,0,0.480785131454468,562.798107862473,"OfferQuit",2,1
"36","WAIT",10,8,1,10.0169339179993,580.848328828812,"Reward",2,1
"37","WAIT",10,20,1,10.0171449184418,600.915383815765,"Reward",2,1
"38","WAIT",10,8,1,10.0168578624725,621.065531015396,"Reward",2,1
"39","GRIP",10,4,0,0.782021999359131,631.115365982056,"OfferQuit",2,1
"40","GRIP",10,8,0,0.488273859024048,639.149030923843,"OfferQuit",2,1
"41","WAIT",10,20,1,10.0167200565338,657.199289798737,"Reward",2,1
"42","GRIP",10,20,1,10.0204651355743,677.269984960556,"Reward",2,1
"43","WAIT",10,4,0,0.620557069778442,687.316473960876,"OfferQuit",2,1
"44","GRIP",10,8,0,0.969974994659424,695.349990844727,"OfferQuit",2,1
"45","GRIP",10,20,1,10.0205020904541,713.404125928879,"Reward",2,1
"46","WAIT",10,20,1,10.0173008441925,733.467263936996,"Reward",2,1
"47","WAIT",10,8,1,10.0167670249939,753.534215927124,"Reward",2,1
"48","GRIP",10,4,0,0.622105121612549,763.584302902222,"OfferQuit",2,1
"49","WAIT",10,4,0,0.538885116577148,771.617457866669,"OfferQuit",2,1
"50","WAIT",10,4,0,0.664287090301514,779.651112794876,"OfferQuit",2,1
"51","GRIP",10,20,1,10.0201120376587,797.704475879669,"Reward",2,1
"52","WAIT",10,8,1,10.0171720981598,817.768314838409,"Reward",2,1
"53","GRIP",10,4,0,0.807708978652954,827.818341016769,"OfferQuit",2,1
"54","WAIT",10,20,1,10.0162870883942,845.868297815323,"Reward",2,1
"55","COGNITIVE",10,20,1,10.0007271766663,871.669688940048,"Reward",3,0
"56","COGNITIVE",10,4,0,0.755807876586914,881.719287872314,"OfferQuit",3,0
"57","WAIT",10,8,1,10.0168271064758,899.769588947296,"Reward",3,0
"58","WAIT",10,4,0,0.852885007858276,909.819544792175,"OfferQuit",3,0
"59","WAIT",10,20,1,10.0164620876312,927.869679927826,"Reward",3,0
"60","COGNITIVE",10,8,1,10.0012009143829,947.921033859253,"Reward",3,0
"61","COGNITIVE",10,20,1,10.0015079975128,967.971915960312,"Reward",3,0
"62","WAIT",10,4,0,0.556720018386841,978.020471811295,"OfferQuit",3,0
"63","WAIT",10,8,1,10.0165441036224,996.070691823959,"Reward",3,0
"64","COGNITIVE",10,4,0,0.811038017272949,1006.12093687057,"OfferQuit",3,0
"65","COGNITIVE",10,8,1,10.0181310176849,1024.17294001579,"Reward",3,0
"66","WAIT",10,20,1,10.017480134964,1044.23833489418,"Reward",3,0
"67","COGNITIVE",10,4,0,0.727313041687012,1054.28849291801,"OfferQuit",3,0
"68","WAIT",10,4,0,0.832605123519897,1062.32186484337,"OfferQuit",3,0
"69","WAIT",10,20,1,10.016401052475,1080.47173881531,"Reward",3,0
"70","COGNITIVE",10,8,1,10.0013449192047,1100.5231628418,"Reward",3,0
"71","COGNITIVE",10,20,1,10.0009090900421,1120.57355093956,"Reward",3,0
"72","WAIT",10,8,1,10.0161800384521,1140.63900089264,"Reward",3,0
"73","WAIT",10,8,1,10.0169410705566,1160.70674180984,"Reward",3,0
"74","WAIT",10,4,0,0.793705940246582,1170.75698184967,"OfferQuit",3,0
"75","COGNITIVE",10,8,1,10.0011351108551,1188.79113793373,"Reward",3,0
