"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"1","WAIT",10,4,1,10.0179560184479,17.0552051067352,"Reward",1,0
"2","COGNITIVE",10,4,0,1.39841294288635,27.1043620109558,"OfferQuit",1,0
"3","COGNITIVE",10,8,1,10.0016939640045,45.1403369903564,"Reward",1,0
"4","WAIT",10,8,1,10.0164361000061,65.2056250572205,"Reward",1,0
"5","WAIT",10,20,1,10.016154050827,85.2723829746246,"Reward",1,0
"6","COGNITIVE",10,20,1,10.0004720687866,105.323482990265,"Reward",1,0
"7","WAIT",10,4,1,10.0174250602722,125.44000005722,"Reward",1,0
"8","COGNITIVE",10,20,2,6.00073099136353,141.490699052811,"Forced Travel",1,0
"9","WAIT",10,20,1,10.0169930458069,159.54042506218,"Reward",1,0
"10","COGNITIVE",10,4,1,10.0182459354401,179.608978033066,"Reward",1,0
"11","WAIT",10,8,1,10.0165019035339,199.674402952194,"Reward",1,0
"12","COGNITIVE",10,8,1,10.0006320476532,219.725156068802,"Reward",1,0
"13","COGNITIVE",10,20,1,10.0006139278412,239.775496959686,"Reward",1,0
"14","COGNITIVE",10,4,1,10.001809835434,259.82692694664,"Reward",1,0
"15","WAIT",10,8,1,10.0168089866638,279.892282009125,"Reward",1,0
"16","WAIT",10,20,1,10.0163588523865,299.959154129028,"Reward",1,0
"17","COGNITIVE",10,8,1,10.00044298172,320.010004997253,"Reward",1,0
"18","WAIT",10,4,1,10.016608953476,340.076364994049,"Reward",1,0
"19","WAIT",10,8,1,10.016608953476,360.143612146378,"Reward",1,0
"20","COGNITIVE",10,20,1,10.0006289482117,380.194272994995,"Reward",1,0
"21","COGNITIVE",10,4,1,10.0001308917999,400.24452996254,"Reward",1,0
"22","WAIT",10,20,1,10.0174589157104,420.311056137085,"Reward",1,0
"23","GRIP",10,8,1,10.0317180156708,447.343109130859,"Reward",2,1
"24","WAIT",10,4,1,10.0170071125031,467.411848068237,"Reward",2,1
"25","WAIT",10,8,1,10.0168669223785,487.478783130646,"Reward",2,1
"26","GRIP",10,4,1,10.0313489437103,507.560740947723,"Reward",2,1
"27","WAIT",10,20,1,10.0172219276428,527.629245996475,"Reward",2,1
"28","GRIP",10,20,1,10.0305259227753,547.709494113922,"Reward",2,1
"29","GRIP",10,4,1,10.0309062004089,567.794223070145,"Reward",2,1
"30","WAIT",10,20,1,10.0168361663818,587.863538980484,"Reward",2,1
"31","WAIT",10,4,1,10.0159220695496,607.930557012558,"Reward",2,1
"32","WAIT",10,8,1,10.016462802887,627.997460126877,"Reward",2,1
"33","GRIP",10,20,1,10.0294959545135,648.077116966248,"Reward",2,1
"34","GRIP",10,8,1,10.0305099487305,668.228672027588,"Reward",2,1
"35","GRIP",10,4,1,10.0311360359192,688.312992095947,"Reward",2,1
"36","WAIT",10,20,1,10.017459154129,708.381983041763,"Reward",2,1
"37","GRIP",10,20,1,10.0293469429016,728.461454153061,"Reward",2,1
"38","GRIP",10,8,2,1.02169799804688,739.537718057632,"Forced Travel",2,1
"39","WAIT",10,4,1,10.0166530609131,757.582535982132,"Reward",2,1
"40","WAIT",10,8,1,10.0165832042694,777.649579048157,"Reward",2,1
"41","GRIP",10,8,1,10.0305359363556,797.730354070663,"Reward",2,1
"42","WAIT",10,4,1,10.016804933548,817.800270080566,"Reward",2,1
"43","WAIT",10,20,1,10.0159969329834,837.866501092911,"Reward",2,1
"44","GRIP",10,20,2,1.02266001701355,848.94041800499,"Forced Travel",2,1
"45","WAIT",10,20,1,10.0171709060669,873.834361076355,"Reward",3,0
"46","COGNITIVE",10,8,1,10.000736951828,893.885117053986,"Reward",3,0
"47","WAIT",10,8,1,10.0170288085938,913.951569080353,"Reward",3,0
"48","WAIT",10,4,1,10.0166871547699,934.018481016159,"Reward",3,0
"49","COGNITIVE",10,4,1,10.0009269714355,954.069431066513,"Reward",3,0
"50","COGNITIVE",10,20,1,10.0016720294952,974.12075304985,"Reward",3,0
"51","WAIT",10,8,1,10.0169260501862,994.186074972153,"Reward",3,0
"52","COGNITIVE",10,4,1,10.0006239414215,1014.23700809479,"Reward",3,0
"53","COGNITIVE",10,8,1,10.000415802002,1034.28728795052,"Reward",3,0
"54","WAIT",10,4,1,10.0168550014496,1054.35374212265,"Reward",3,0
"55","WAIT",10,20,1,10.0170240402222,1074.45395803452,"Reward",3,0
"56","COGNITIVE",10,20,1,10.0007457733154,1094.50483512878,"Reward",3,0
"57","WAIT",10,20,1,10.0173010826111,1114.57141399384,"Reward",3,0
"58","COGNITIVE",10,4,1,10.0010080337524,1134.62211894989,"Reward",3,0
"59","COGNITIVE",10,8,1,10.0003740787506,1154.67239499092,"Reward",3,0
"60","WAIT",10,4,1,10.0168769359589,1174.73892593384,"Reward",3,0
"61","WAIT",10,8,1,10.0165581703186,1194.80575203896,"Reward",3,0
"62","COGNITIVE",10,20,1,10.0016679763794,1214.85772895813,"Reward",3,0
"63","COGNITIVE",10,8,1,10.0015439987183,1234.90782594681,"Reward",3,0
"64","WAIT",10,20,1,10.0172419548035,1254.97341895103,"Reward",3,0
"65","COGNITIVE",10,4,1,10.0008838176727,1275.02432012558,"Reward",3,0
"66","GRIP",10,8,1,10.0316019058228,1304.5718331337,"Reward",4,1
"67","WAIT",10,20,1,10.0172579288483,1324.64066910744,"Reward",4,1
"68","GRIP",10,20,1,10.0311069488525,1344.7219581604,"Reward",4,1
"69","GRIP",10,4,1,10.030736207962,1364.80593705177,"Reward",4,1
"70","WAIT",10,8,1,10.0168070793152,1384.87532615662,"Reward",4,1
"71","WAIT",10,4,1,10.0167500972748,1404.94217705727,"Reward",4,1
"72","GRIP",10,20,1,10.0307030677795,1425.0228099823,"Reward",4,1
"73","WAIT",10,8,1,10.0167641639709,1445.09280204773,"Reward",4,1
"74","GRIP",10,4,1,10.0297510623932,1465.1724729538,"Reward",4,1
"75","GRIP",10,8,2,1.02087211608887,1476.2482149601,"Forced Travel",4,1
"76","WAIT",10,4,1,10.0175521373749,1494.29352903366,"Reward",4,1
"77","WAIT",10,20,1,10.0171549320221,1514.36061811447,"Reward",4,1
"78","GRIP",10,20,1,10.0296700000763,1534.44009399414,"Reward",4,1
"79","WAIT",10,8,1,10.0173449516296,1554.51120400429,"Reward",4,1
"80","WAIT",10,4,1,10.0170919895172,1574.57813501358,"Reward",4,1
"81","GRIP",10,8,1,10.0317540168762,1594.65956115723,"Reward",4,1
"82","GRIP",10,4,1,10.0303721427917,1614.74238705635,"Reward",4,1
