"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"1","WAIT",10,8,1,10.017205953598,17.0649890899658,"Reward",1,0
"2","WAIT",10,4,1,10.01664686203,37.1319239139557,"Reward",1,0
"3","COGNITIVE",10,8,1,10.0007810592651,57.1826989650726,"Reward",1,0
"4","WAIT",10,20,1,10.0168571472168,77.2490429878235,"Reward",1,0
"5","COGNITIVE",10,4,2,8.00107598304749,95.3000218868256,"Forced Travel",1,0
"6","COGNITIVE",10,20,1,10.0020709037781,113.334567070007,"Reward",1,0
"7","COGNITIVE",10,8,1,10.0007688999176,133.433414936066,"Reward",1,0
"8","COGNITIVE",10,20,1,10.0006930828094,153.483870029449,"Reward",1,0
"9","WAIT",10,8,1,10.0167460441589,173.54993391037,"Reward",1,0
"10","WAIT",10,20,1,10.0160272121429,193.616430997849,"Reward",1,0
"11","WAIT",10,4,1,10.016695022583,213.683662891388,"Reward",1,0
"12","COGNITIVE",10,4,1,10.0018191337585,233.735470056534,"Reward",1,0
"13","WAIT",10,8,1,10.0168449878693,253.80072593689,"Reward",1,0
"14","COGNITIVE",10,8,1,10.000678062439,273.851697921753,"Reward",1,0
"15","WAIT",10,20,1,10.0172970294952,293.917409896851,"Reward",1,0
"16","COGNITIVE",10,20,1,10.0006449222565,313.968412876129,"Reward",1,0
"17","COGNITIVE",10,4,1,10.0000569820404,334.0182929039,"Reward",1,0
"18","WAIT",10,4,1,10.0164160728455,354.084642887115,"Reward",1,0
"19","WAIT",10,8,1,10.0164728164673,374.151684045792,"Reward",1,0
"20","COGNITIVE",10,4,1,10.0012919902802,394.202636957169,"Reward",1,0
"21","COGNITIVE",10,8,1,10.0006101131439,414.252856969833,"Reward",1,0
"22","GRIP",10,8,1,10.0213000774384,440.824052095413,"Reward",2,1
"23","WAIT",10,8,1,10.0169739723206,460.902311086655,"Reward",2,1
"24","GRIP",10,20,1,10.0345158576965,480.987257003784,"Reward",2,1
"25","WAIT",10,4,1,10.0165419578552,501.052707910538,"Reward",2,1
"26","GRIP",10,4,1,10.0204641819,521.123872041702,"Reward",2,1
"27","WAIT",10,20,1,10.0165009498596,541.203496932983,"Reward",2,1
"28","GRIP",10,8,1,10.0340721607208,561.287533998489,"Reward",2,1
"29","GRIP",10,20,1,10.034120798111,581.371340990067,"Reward",2,1
"30","WAIT",10,20,1,10.0165550708771,601.437372922897,"Reward",2,1
"31","WAIT",10,8,1,10.0165848731995,621.50422501564,"Reward",2,1
"32","GRIP",10,4,1,10.0195860862732,641.574142932892,"Reward",2,1
