"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"92","WAIT",10,4,1,10.0165059566498,1666.93357682228,"Reward",4,0
"93","COGNITIVE",10,8,1,10.0005960464478,1686.98417782784,"Reward",4,0
"94","WAIT",10,8,1,10.0166518688202,1707.05045795441,"Reward",4,0
"95","COGNITIVE",10,4,0,1.02328181266785,1717.10038685799,"OfferQuit",4,0
"96","COGNITIVE",10,20,2,4.01729798316956,1729.15110683441,"Forced Travel",4,0
"97","GRIP",10,8,1,10.0260670185089,1753.40970087051,"Reward",5,1
"98","GRIP",10,20,1,10.0264971256256,1773.49427390099,"Reward",5,1
"99","WAIT",10,20,1,10.0171649456024,1793.56759285927,"Reward",5,1
"100","WAIT",10,4,1,10.0166008472443,1813.63439798355,"Reward",5,1
"101","WAIT",10,8,1,10.0166299343109,1833.70113587379,"Reward",5,1
"102","GRIP",10,4,1,10.025915145874,1853.77664589882,"Reward",5,1
"103","WAIT",10,8,1,10.0166440010071,1873.85135388374,"Reward",5,1
"104","GRIP",10,20,1,10.0256590843201,1894.04378986359,"Reward",5,1
"105","GRIP",10,8,1,10.0278949737549,1914.12973284721,"Reward",5,1
"106","WAIT",10,4,0,1.97572588920593,1924.18500781059,"OfferQuit",5,1
"107","WAIT",10,20,1,10.0165209770203,1942.23492097855,"Reward",5,1
"108","GRIP",10,4,0,1.29146790504456,1952.28508591652,"OfferQuit",5,1
"109","GRIP",10,20,1,10.0266859531403,1970.34550189972,"Reward",5,1
"110","GRIP",10,4,0,1.08099007606506,1980.40207290649,"OfferQuit",5,1
"111","GRIP",10,8,1,10.0255198478699,1998.46103596687,"Reward",5,1
"112","WAIT",10,20,1,10.0167310237885,2018.53546380997,"Reward",5,1
"113","WAIT",10,4,0,1.16453409194946,2028.58569192886,"OfferQuit",5,1
"114","WAIT",10,8,1,10.0166969299316,2046.63560986519,"Reward",5,1
"115","WAIT",10,4,0,1.08549213409424,2056.68579101562,"OfferQuit",5,1
"116","GRIP",10,8,1,10.0275278091431,2074.74657297134,"Reward",5,1
"117","WAIT",10,8,1,10.0167310237885,2094.8192088604,"Reward",5,1
"118","GRIP",10,4,0,1.14997696876526,2104.86908888817,"OfferQuit",5,1
"119","WAIT",10,20,1,10.0166420936584,2122.91934084892,"Reward",5,1
"120","GRIP",10,20,1,10.0266239643097,2142.99562501907,"Reward",5,1
"121","WAIT",10,20,1,10.0167610645294,2163.06958389282,"Reward",5,1
"122","WAIT",10,8,1,10.0161459445953,2189.33638596535,"Reward",6,0
"123","COGNITIVE",10,8,2,10.0005791187286,2209.38694190979,"Forced Travel",6,0
"124","WAIT",10,20,1,10.0166819095612,2227.43660402298,"Reward",6,0
"125","COGNITIVE",10,4,0,1.26282906532288,2237.48623895645,"OfferQuit",6,0
