"Handling","Reward","Choice","RT","Experiment.Time","Block"
14,8,1,14.0166718959808,21.0715899467468,1
14,20,1,14.0162169933319,41.1387119293213,1
14,4,0,0.160314083099365,47.3499870300293,1
14,8,1,13.999440908432,65.3893098831177,1
14,20,1,13.9993760585785,85.4397709369659,1
14,4,1,13.9995691776276,105.490312099457,1
14,8,1,13.9993848800659,125.540742874146,1
14,20,1,13.9994640350342,145.59126996994,1
14,8,1,13.9996948242188,165.641759872437,1
14,4,0,0.249957799911499,171.942768096924,1
14,20,2,12.0004878044128,187.975614070892,1
14,4,0,0.27295994758606,192.28297495842,1
14,4,0,0.351381063461304,196.661530017853,1
14,20,1,13.9994359016418,214.69292807579,1
14,4,0,0.268911123275757,221.012959003448,1
14,20,1,14.0002920627594,239.04443192482,1
14,8,1,14.0004990100861,259.095171928406,1
14,8,1,13.9997239112854,279.14450097084,1
14,8,1,14.0002069473267,299.195837020874,1
14,20,1,13.9994440078735,319.245506048203,1
14,20,1,14.0003039836884,339.296446084976,1
14,8,0,0.617347002029419,345.964339017868,1
14,4,0,0.627860069274902,350.624984025955,1
14,4,0,0.698052883148193,355.36158490181,1
14,20,1,13.999832868576,373.396920919418,1
14,20,1,14.0161900520325,393.463989019394,1
14,4,0,0.390365123748779,399.905349969864,1
14,8,1,14.0169539451599,417.948771953583,1
2,4,1,1.99964904785156,431.96498298645,2
2,8,1,1.99948406219482,452.015425920486,2
2,20,1,1.99910688400269,472.065651893616,2
2,8,1,2.00103998184204,492.11833190918,2
2,20,1,2.01591801643372,512.183580875397,2
2,4,1,1.99988508224487,532.234036922455,2
2,8,1,2.01580905914307,552.301202058792,2
2,4,1,1.99978995323181,572.352461099625,2
2,20,1,1.9994580745697,592.402105093002,2
2,8,1,2.01701498031616,612.470118999481,2
2,4,1,1.99949407577515,632.519989013672,2
2,20,1,2.01612091064453,652.586939096451,2
2,4,1,1.99926090240479,672.63737487793,2
2,8,1,2.01777601242065,692.706528902054,2
2,20,1,1.99909210205078,712.754997014999,2
2,4,1,1.99993014335632,732.806298017502,2
2,8,1,2.01656603813171,752.872483968735,2
2,20,1,1.99919009208679,772.923145055771,2
2,8,1,1.99922895431519,792.973540067673,2
2,20,1,2.00009298324585,813.024899959564,2
2,8,1,2.00038290023804,833.074492931366,2
10,20,1,10.0160851478577,867.175395011902,3
10,8,1,9.99930000305176,887.225817918777,3
10,20,1,9.99965405464172,907.276310920715,3
10,4,0,0.284575939178467,917.611758947372,3
10,4,1,10.0008039474487,935.644779920578,3
10,8,1,9.99927115440369,955.694123029709,3
10,8,1,10.0159759521484,975.761327028275,3
10,4,0,0.457669019699097,986.270040988922,3
10,20,1,9.9993839263916,1004.29532790184,3
10,4,0,0.384770154953003,1014.73115801811,3
10,8,1,9.99936008453369,1032.76266503334,3
10,20,1,9.99940085411072,1052.813174963,3
10,8,1,9.99937200546265,1072.86366391182,3
10,20,1,10.0000748634338,1092.91498589516,3
10,4,0,0.367055892944336,1103.33186006546,3
10,20,1,10.0153601169586,1121.38106393814,3
10,4,0,0.284333944320679,1131.71671795845,3
10,8,1,10.0006539821625,1149.74864697456,3
10,8,1,9.9987850189209,1169.79864692688,3
10,8,1,10.000519990921,1189.85094809532,3
10,20,1,9.99944806098938,1209.90032196045,3
10,4,0,0.303287982940674,1220.25472807884,3
10,4,0,0.544790029525757,1228.82972693443,3
10,20,1,9.99925804138184,1246.86773991585,3
10,8,1,9.99939107894897,1266.91840195656,3
14,4,0,0.419451951980591,1294.52260994911,4
14,4,0,0.322417020797729,1298.8757519722,4
14,20,1,14.017303943634,1316.92068910599,4
14,20,2,3.99935221672058,1326.96987104416,4
14,8,1,13.9994490146637,1345.00364208221,4
14,8,1,13.9996140003204,1365.05408000946,4
14,4,0,0.35384202003479,1371.45881295204,4
14,20,1,14.0160911083221,1389.50466108322,4
14,8,0,0.442070007324219,1395.9977440834,4
14,20,1,14.0007410049438,1414.02304697037,4
14,4,0,0.293781995773315,1420.36635398865,4
14,8,0,0.528650999069214,1424.93516206741,4
14,4,0,0.463937997817993,1429.43706798553,4
14,4,0,0.467972993850708,1433.94124794006,4
14,8,0,0.435831069946289,1438.40853595734,4
14,8,1,13.999519109726,1456.43964099884,4
14,20,1,14.0009768009186,1476.49125909805,4
14,20,1,13.999559879303,1496.54054808617,4
14,8,1,13.99964594841,1516.59141397476,4
14,20,1,13.9999270439148,1536.64168906212,4
14,8,0,0.268278121948242,1542.96019005775,4
14,4,0,0.276062965393066,1547.26880908012,4
14,4,0,0.406153917312622,1551.71529006958,4
14,20,1,14.0161669254303,1569.79244208336,4
14,8,0,0.247370958328247,1576.09056401253,4
14,8,0,0.301525115966797,1580.42851305008,4
14,4,0,0.285072088241577,1584.74498200417,4
14,20,1,14.016144990921,1602.79330301285,4
14,4,0,0.25430703163147,1609.09801006317,4
14,20,2,7.99992394447327,1621.12704110146,4
14,20,1,14.0000360012054,1639.16079688072,4
14,4,0,0.338386058807373,1645.55017805099,4
14,8,1,16.4899640083313,1666.06863093376,4
14,20,1,14.0003108978271,1686.12003707886,4
14,4,0,0.350919961929321,1692.52130794525,4
14,8,1,13.9993441104889,1710.55309295654,4
2,20,1,2.01582407951355,1724.1531150341,5
2,4,1,1.99905800819397,1744.22051000595,5
2,4,1,1.99940013885498,1764.27113604546,5
2,20,1,2.00005912780762,1784.32254600525,5
2,8,1,1.99880790710449,1804.37183189392,5
2,8,1,2.00098395347595,1824.4245569706,5
2,8,1,2.00016212463379,1844.47421002388,5
2,4,1,1.9994740486145,1864.52365398407,5
2,20,1,1.99906086921692,1884.57412409782,5
2,20,1,2.01693987846375,1904.64237689972,5
2,8,1,1.99968504905701,1924.69176602364,5
2,4,1,2.01664400100708,1944.75977396965,5
2,4,1,2.0161759853363,1964.82634902,5
2,8,1,1.99913001060486,1984.87664008141,5
2,20,1,1.99913501739502,2004.92711210251,5
2,8,1,2.00031518936157,2024.97845005989,5
2,4,1,2.01601004600525,2045.04497599602,5
2,20,1,2.01668405532837,2065.11278605461,5
2,8,1,1.99913597106934,2085.16244387627,5
2,4,1,2.00004100799561,2105.21376395226,5
2,20,1,1.99919009208679,2125.26337003708,5
10,20,2,8.01675200462341,2157.3308429718,6
10,4,0,0.255289077758789,2165.61965703964,6
10,20,1,9.99946212768555,2183.6481859684,6
10,4,0,0.547200918197632,2194.24622392654,6
10,8,1,10.0160248279572,2212.2988948822,6
10,8,1,10.015969991684,2232.36607098579,6
10,20,1,9.99927496910095,2252.41655993462,6
10,8,1,10.0004279613495,2272.46817493439,6
10,4,0,0.276535034179688,2282.79473304749,6
10,8,1,9.99918603897095,2300.83439397812,6
10,4,0,0.317546844482422,2311.20285391808,6
10,20,1,9.99936604499817,2329.2352309227,6
10,20,1,9.99922204017639,2349.28567290306,6
10,4,1,9.9993109703064,2369.33614397049,6
10,8,1,9.99929690361023,2389.38666987419,6
10,4,0,0.300128936767578,2399.73795294762,6
10,8,1,9.9996497631073,2417.77072906494,6
10,20,1,10.0160758495331,2437.83785390854,6
10,4,1,9.99923586845398,2457.88824009895,6
10,8,1,9.99940204620361,2477.9386639595,6
10,20,1,10.0160551071167,2498.00577998161,6
10,4,0,0.297713041305542,2508.35467004776,6
10,20,1,10.0013360977173,2526.39166092873,6
10,8,0,3.20114088058472,2539.64205288887,6
10,8,1,9.99916911125183,2557.67369604111,6
