"Handling","Reward","Choice","Task.RT","Choice.RT","Experiment.Time","Trial.Outcome","Task.Type","Task.Setup","Block"
14,8,2,1.00009799003601,1.99885296821594,9.04392695426941,"0",1,6,1
14,8,1,0.543780088424683,4.01553797721863,11.0606119632721,"0",2,5,1
14,8,1,0.748163938522339,6.01568388938904,13.0607578754425,"0",2,6,1
14,8,1,0.763447999954224,7.99903082847595,15.044105052948,"0",1,6,1
14,8,2,0.880084991455078,10.0157477855682,17.0608220100403,"0",2,7,1
14,8,2,0,10.0159509181976,17.0610239505768,"Forced travel",0,0,1
14,4,2,0.782362937927246,2.01577615737915,23.1110110282898,"0",2,7,1
14,4,1,0.905580043792725,3.99912905693054,25.0943648815155,"0",1,4,1
14,4,1,0.790534019470215,5.99910306930542,27.0943388938904,"0",0,5,1
14,4,1,0.760798931121826,7.99916815757751,29.0944039821625,"0",1,2,1
14,4,1,0.74534010887146,9.99923515319824,31.0944709777832,"0",1,4,1
14,4,2,1.00007891654968,11.999351978302,33.0945868492126,"0",1,2,1
14,4,2,0,11.9995560646057,33.094789981842,"Forced travel",0,0,1
14,4,1,0.857072114944458,1.99856805801392,39.1276879310608,"0",0,5,1
14,4,1,0.951128959655762,3.99894690513611,41.1280670166016,"0",1,4,1
14,4,1,0.630801200866699,6.01569795608521,43.1448180675507,"0",2,1,1
14,4,1,0.964104890823364,7.99909591674805,45.1282150745392,"0",0,6,1
14,4,1,0.714675903320312,9.99913001060486,47.1282498836517,"0",0,0,1
14,4,1,0.498406171798706,12.0158100128174,49.1449298858643,"0",2,4,1
14,4,1,0.546869993209839,14.0158860683441,51.145005941391,"0",2,3,1
14,4,1,0,14.0160970687866,51.1452150344849,"Reward",0,0,1
14,20,1,0.718228101730347,1.99902296066284,59.1952440738678,"0",0,0,1
14,20,1,0.673927068710327,3.99903988838196,61.1952610015869,"0",0,3,1
14,20,1,0.883081912994385,5.99907493591309,63.195296049118,"0",0,7,1
14,20,2,1.00007200241089,7.99909400939941,65.1953148841858,"0",0,1,1
14,20,1,0.76697301864624,9.99921607971191,67.195436000824,"0",0,1,1
14,20,1,0.789757013320923,11.999263048172,69.1954839229584,"0",0,5,1
14,20,1,0.580620050430298,13.998960018158,71.1951808929443,"0",0,6,1
14,20,1,0,13.9991719722748,71.1953918933868,"Reward",0,0,1
14,8,2,1.00007200241089,1.99903988838196,79.2457220554352,"0",1,2,1
14,8,1,0.481403112411499,3.99908185005188,81.2457640171051,"0",1,7,1
14,8,2,0.614359855651855,6.01581501960754,83.2624969482422,"0",2,2,1
14,8,2,0,6.01684188842773,83.2635228633881,"Forced travel",0,0,1
14,20,2,0.694977998733521,1.99912905693054,89.2959849834442,"0",1,2,1
14,20,2,0.513714075088501,4.01609683036804,91.3129529953003,"0",2,3,1
14,20,2,0,4.01634502410889,91.3131999969482,"Forced travel",0,0,1
14,8,1,0.775107860565186,1.9990119934082,97.3461849689484,"0",0,6,1
14,8,2,0.881676912307739,4.01571917533875,99.362890958786,"0",2,6,1
14,8,1,0.776056051254272,6.00361514091492,101.350786924362,"0",1,7,1
14,8,1,0.824236154556274,7.99915814399719,103.346329927444,"0",0,2,1
14,8,2,0.8834068775177,9.99919819831848,105.346369981766,"0",1,2,1
14,8,2,0,9.99939918518066,105.346569061279,"Forced travel",0,0,1
14,20,1,0.748756170272827,1.9990508556366,111.379904031754,"0",0,1,1
14,20,1,0.627156972885132,3.99907398223877,113.379926919937,"0",0,5,1
14,20,1,0.679153919219971,5.99912786483765,115.379981040955,"0",0,7,1
14,20,1,0.79467511177063,7.99915194511414,117.380004882812,"0",0,4,1
14,20,1,0.51110315322876,9.99919295310974,119.380045890808,"0",0,4,1
14,20,1,0.807363986968994,11.9993269443512,121.380181074142,"0",1,1,1
14,20,1,0.779536962509155,13.9993278980255,123.380181074142,"0",0,1,1
14,20,1,0,13.9995369911194,123.380388975143,"Reward",0,0,1
14,8,1,0.982084989547729,2.01634907722473,131.446853876114,"0",2,7,1
14,8,1,0.727522850036621,3.99990701675415,133.430412054062,"0",0,7,1
14,8,1,0.766175985336304,5.99998903274536,135.430494070053,"0",1,0,1
14,8,1,0.930643081665039,8.0000171661377,137.430521965027,"0",2,5,1
14,8,1,0.741949081420898,10.0000200271606,139.430525064468,"0",1,1,1
14,8,1,0.550132036209106,12.0001270771027,141.430631875992,"0",1,3,1
14,8,2,0.99685001373291,14.0001931190491,143.430697917938,"0",2,3,1
14,8,1,0,14.0012619495392,143.431766986847,"Reward",0,0,1
14,20,1,0.63205099105835,2.01567792892456,151.497524023056,"0",2,0,1
14,20,1,0.506181001663208,3.99913096427917,153.480977058411,"0",1,7,1
14,20,1,0.817431926727295,5.99911999702454,155.480965852737,"0",1,2,1
14,20,1,0.759795188903809,7.99915409088135,157.48099899292,"0",1,3,1
14,20,2,0.996186971664429,10.0158739089966,159.497720003128,"0",2,1,1
14,20,1,0.498143911361694,12.0159499645233,161.497796058655,"0",2,5,1
14,20,2,0.914608001708984,14.0159730911255,163.497818946838,"0",2,6,1
14,20,2,0,14.0161790847778,163.498023986816,"Forced travel",0,0,1
14,4,1,0.74902081489563,1.99896192550659,169.531322002411,"0",0,0,1
14,4,1,0.509029865264893,3.99901509284973,171.53137588501,"0",0,2,1
14,4,1,0.743451118469238,5.99901294708252,173.531373023987,"0",1,5,1
14,4,1,0.60574197769165,7.9991569519043,175.531517028809,"0",0,5,1
14,4,1,0.455231904983521,9.99916911125183,177.531528949738,"0",0,0,1
14,4,1,0.679610967636108,11.9992260932922,179.531584978104,"0",1,1,1
14,4,1,0.947430849075317,14.0161640644073,181.548523902893,"0",2,4,1
14,4,1,0,14.0164220333099,181.548780918121,"Reward",0,0,1
14,4,1,0.682013034820557,1.99895477294922,189.598484992981,"0",0,1,1
14,4,1,0.423456907272339,3.99903988838196,191.598569869995,"0",0,4,1
14,4,1,0.664689064025879,6.01574087142944,193.615270853043,"0",2,3,1
14,4,1,0.603317975997925,7.99905896186829,195.598588943481,"0",0,0,1
14,4,1,0.846894979476929,10.0159018039703,197.615432024002,"0",2,1,1
14,4,1,0.613049983978271,11.999226808548,199.59875702858,"0",0,2,1
14,4,1,0.51476001739502,13.9992868900299,201.598816871643,"0",0,7,1
14,4,1,0,13.999499797821,201.599029064178,"Reward",0,0,1
14,20,1,0.523965120315552,1.99874114990234,209.648665904999,"0",0,7,1
14,20,1,0.539455890655518,3.99913811683655,211.649061918259,"0",1,3,1
14,20,1,0.61858606338501,5.9991819858551,213.649106025696,"0",1,1,1
14,20,2,0.881405115127563,8.01585412025452,215.665777921677,"0",2,6,1
14,20,2,0.996165990829468,10.0159320831299,217.665855884552,"0",2,7,1
14,20,2,0,10.0161349773407,217.666058063507,"Forced travel",0,0,1
14,4,1,0.632601976394653,1.99888920783997,223.69933795929,"0",1,1,1
14,4,1,0.431670188903809,3.9989321231842,225.699380874634,"0",1,4,1
14,4,1,0.408729076385498,5.99898815155029,227.699436903,"0",1,3,1
14,4,1,0.631294965744019,7.99901008605957,229.699459075928,"0",0,3,1
14,4,1,0.432528972625732,9.99912118911743,231.699569940567,"0",1,4,1
14,4,2,0.981925964355469,12.0157911777496,233.716240882874,"0",2,3,1
14,4,1,0.588456869125366,13.9992091655731,235.699657917023,"0",0,0,1
14,4,1,0,13.9994170665741,235.699864864349,"Reward",0,0,1
14,4,1,0.597785949707031,2.01631307601929,243.766856908798,"0",2,6,1
14,4,1,0.617512941360474,3.9993109703064,245.749855041504,"0",0,3,1
14,4,1,0.780698776245117,6.01602792739868,247.766571998596,"0",2,4,1
14,4,1,0.440548896789551,7.99941205978394,249.749955892563,"0",1,3,1
14,4,1,0.422953128814697,9.99947810173035,251.750021934509,"0",0,6,1
14,4,1,0.417020797729492,11.9995329380035,253.750077009201,"0",1,3,1
14,4,2,0.997009038925171,14.0162749290466,255.766819000244,"0",2,2,1
14,4,1,0,14.0164859294891,255.767029047012,"Reward",0,0,1
14,8,1,0.815654993057251,2.01613306999207,263.834059000015,"0",2,5,1
14,8,1,0.517729997634888,3.99911594390869,265.817043066025,"0",1,5,1
14,8,1,0.681856870651245,6.01585006713867,267.833776950836,"0",2,4,1
14,8,1,0.608808994293213,7.99920606613159,269.817132949829,"0",0,3,1
14,8,1,0.385118007659912,9.99927091598511,271.817198038101,"0",0,7,1
14,8,1,0.431374073028564,11.999321937561,273.817249059677,"0",1,4,1
14,8,1,0.541407108306885,13.9988451004028,275.8167719841,"0",0,4,1
14,8,1,0,13.9990539550781,275.816979885101,"Reward",0,0,1
14,8,1,0.466796875,1.99909710884094,283.86749792099,"0",1,3,1
14,8,1,0.477376937866211,3.99918007850647,285.867579936981,"0",0,3,1
14,8,1,0.813966035842896,6.01587915420532,287.884279966354,"0",2,0,1
14,8,1,0.549814939498901,7.99926996231079,289.867671012878,"0",1,5,1
14,8,1,0.630499124526978,9.99959707260132,291.86799788475,"0",0,2,1
14,8,1,0.477767944335938,11.9993860721588,293.867785930634,"0",0,2,1
14,8,1,0.434842109680176,13.9993550777435,295.867755889893,"0",1,5,1
14,8,1,0,14.000678062439,295.869077920914,"Reward",0,0,1
14,20,1,0.499808073043823,1.99897193908691,303.918007850647,"0",1,5,1
14,20,1,0.420632123947144,3.9989960193634,305.918031930923,"0",1,3,1
14,20,1,0.392327070236206,5.99913501739502,307.918170928955,"0",1,4,1
14,20,1,0.438963890075684,7.99914789199829,309.918184041977,"0",1,5,1
14,20,1,0.981727123260498,10.0158019065857,311.934838056564,"0",2,3,1
14,20,2,0.886882781982422,11.9992249011993,313.918261051178,"0",1,2,1
14,20,1,0.662789106369019,14.0158958435059,315.934932947159,"0",2,3,1
14,20,1,0,14.0161049365997,315.935138940811,"Reward",0,0,1
14,20,1,0.58182692527771,2.01605010032654,324.00226688385,"0",2,4,1
14,20,1,0.715337038040161,3.99900102615356,325.985218048096,"0",0,2,1
14,20,2,0.962851047515869,6.01570200920105,328.001919031143,"0",2,6,1
14,20,1,0.648339033126831,8.01580214500427,330.002018928528,"0",2,5,1
14,20,1,0.573417186737061,9.99917006492615,331.98538684845,"0",0,1,1
14,20,2,0.996845960617065,12.0159060955048,334.002122879028,"0",2,5,1
14,20,2,0,12.0161011219025,334.002316951752,"Forced travel",0,0,1
14,20,1,0.645102024078369,1.99899792671204,340.035557031631,"0",0,7,1
14,20,1,0.430488109588623,3.99961400032043,342.036172866821,"0",1,3,1
14,20,1,0.393404006958008,5.99885392189026,344.03541302681,"0",0,7,1
14,20,1,0.54183292388916,7.99918293952942,346.035742044449,"0",0,0,1
14,20,1,0.564879179000854,10.015909910202,348.052469015121,"0",2,3,1
14,20,1,0.466337919235229,11.999274969101,350.035832881927,"0",0,7,1
14,20,1,0.551023960113525,13.9993510246277,352.035909891129,"0",0,5,1
14,20,1,0,14.0003740787506,352.036931991577,"Reward",0,0,1
14,4,1,0.815421104431152,2.01613998413086,360.103139877319,"0",2,1,1
14,4,1,0.580091953277588,3.99911999702454,362.086119890213,"0",0,1,1
14,4,2,0.435975074768066,5.99923205375671,364.086231946945,"0",1,6,1
14,4,1,0.630099058151245,8.01590704917908,366.102906942368,"0",2,5,1
14,4,1,0.534018993377686,9.99931693077087,368.086317062378,"0",0,6,1
14,4,2,0.4046471118927,11.9993209838867,370.086320877075,"0",1,2,1
14,4,2,0,11.9995250701904,370.086524009705,"Forced travel",0,0,1
14,4,1,0.543725967407227,1.99886918067932,376.119761943817,"0",0,6,1
14,4,1,0.433531999588013,3.99887418746948,378.119766950607,"0",1,3,1
14,4,1,0.626224994659424,5.9988911151886,380.119783878326,"0",0,1,1
14,4,1,0.831844091415405,8.01557612419128,382.136468887329,"0",2,2,1
14,4,1,0.480036020278931,9.998948097229,384.119840860367,"0",1,3,1
