"","Handling","Offer","Choice","RT","Experiment.Time","Block"
"1",10,8,0,2.17704606056213,9.23140096664429,1
"2",10,20,0,0.160084962844849,17.4296400547028,1
"3",10,4,1,10.0241599082947,35.4779040813446,1
"4",10,4,0,0.253005981445312,45.7908871173859,1
"5",10,8,1,10.0230088233948,63.8443720340729,1
"6",10,20,1,10.0232379436493,83.9283509254456,1
"7",10,8,1,10.0228159427643,104.011758089066,1
"8",10,20,1,10.0224678516388,124.095084905624,1
"9",10,8,1,10.0231020450592,144.17954492569,1
"10",10,4,0,0.440524101257324,154.680228948593,1
"11",10,20,1,10.0235030651093,172.730340957642,1
"12",10,4,0,0.910543918609619,183.751251935959,1
"13",10,20,1,10.0232779979706,201.814357995987,1
"14",10,8,1,10.0232920646667,221.897344112396,1
"15",10,4,0,0.175892114639282,232.134274959564,1
"16",10,8,1,10.0255589485168,250.184261083603,1
"17",10,20,1,10.0313620567322,270.273638963699,1
"18",10,4,0,1.01936507225037,281.345499992371,1
"19",10,8,1,10.0232698917389,299.399641036987,1
"20",10,4,0,1.01909399032593,310.480961084366,1
"21",10,8,0,0.487339019775391,318.996753931046,1
"22",10,4,0,1.01957392692566,328.048312902451,1
"23",10,20,1,10.0232820510864,346.101712942123,1
"24",10,20,1,10.0232989788055,366.18551492691,1
"25",10,20,1,10.0302150249481,386.275993108749,1
"26",10,4,0,1.01988697052002,397.3499751091,1
"27",10,8,1,10.0228660106659,415.403131961823,1
"28",14,4,0,1.0233428478241,433.06914806366,2
"29",14,4,0,1.0211238861084,438.116993904114,2
"30",14,8,1,14.0184831619263,456.16429400444,2
"31",14,20,1,14.0240168571472,476.253652095795,2
"32",14,8,0,1.021812915802,483.33524107933,2
"33",14,20,1,14.0241470336914,501.387454032898,2
"34",14,8,0,1.01915884017944,508.466268062592,2
"35",14,4,0,1.01917004585266,513.51654291153,2
"36",14,8,0,1.0188319683075,518.566309928894,2
"37",14,4,0,1.01897883415222,523.616383075714,2
"38",14,20,1,14.0241079330444,541.671821117401,2
"39",14,20,1,14.024267911911,561.755624055862,2
"40",14,8,0,1.01962900161743,568.83441400528,2
"41",14,8,0,1.01861381530762,573.884260892868,2
"42",14,4,0,1.01892113685608,578.933933973312,2
"43",14,20,1,14.0237281322479,596.989284992218,2
"44",14,20,1,14.0239219665527,617.073072910309,2
"45",14,4,0,1.0190851688385,624.151885032654,2
"46",14,8,0,1.02538204193115,629.208447933197,2
"47",14,8,0,1.01922202110291,634.252491950989,2
"48",14,20,1,14.0186879634857,652.301932096481,2
"49",14,4,0,1.02155494689941,659.371825933456,2
"50",14,4,0,1.01895809173584,664.41939997673,2
"51",14,20,1,14.0245499610901,682.4751329422,2
"52",14,4,0,1.0190110206604,689.553258895874,2
"53",14,4,0,1.0188570022583,694.603477954865,2
"54",14,20,1,14.0269107818604,712.661345005035,2
"55",14,20,1,14.018942117691,732.736810922623,2
"56",14,8,0,1.01885890960693,739.805866956711,2
"57",14,8,0,1.01941609382629,744.855974912643,2
"58",14,4,0,1.01996493339539,749.906452894211,2
"59",14,20,1,14.024405002594,767.960961103439,2
"60",14,20,1,14.0246269702911,788.045018911362,2
"61",14,4,0,1.01909518241882,795.123646974564,2
"62",14,8,0,1.01898193359375,800.173749923706,2
"63",14,8,0,1.01893782615662,805.223293066025,2
"64",14,8,0,1.01951384544373,810.274027109146,2
"65",14,4,0,1.01910901069641,815.323666095734,2
"66",14,4,0,1.01955389976501,820.374283075333,2
"67",14,20,1,14.0244789123535,838.429819107056,2
"68",2,20,1,2.01951384544373,852.740322113037,3
"69",2,8,1,2.01936197280884,872.806977987289,3
"70",2,4,1,2.01902794837952,892.87380194664,3
"71",2,20,1,2.01916313171387,913.006902933121,3
"72",2,4,1,2.02377200126648,933.079484939575,3
"73",2,8,1,2.019376039505,953.15883898735,3
"74",2,20,1,2.01924395561218,973.225764036179,3
"75",2,20,1,2.01930785179138,993.30945110321,3
"76",2,8,1,2.01920700073242,1013.39289808273,3
"77",2,8,1,2.01899695396423,1033.45999193192,3
"78",2,4,1,2.02374792098999,1053.5316491127,3
"79",2,4,1,2.0233941078186,1073.61508893967,3
"80",2,20,1,2.01966404914856,1093.69527602196,3
"81",2,4,1,2.0235710144043,1113.7832839489,3
"82",2,8,1,2.02409386634827,1133.86719107628,3
"83",2,20,1,2.02035593986511,1153.94833707809,3
"84",2,4,1,2.02703189849854,1174.03936910629,3
"85",2,8,1,2.01990604400635,1194.11533403397,3
"86",2,20,1,2.01951789855957,1214.19870710373,3
"87",2,20,1,2.01956081390381,1234.28243207932,3
"88",2,8,1,2.01994109153748,1254.36689400673,3
"89",10,20,1,10.0232598781586,1295.03614711761,4
"90",10,20,1,10.021008014679,1315.11744689941,4
"91",10,8,1,10.022577047348,1335.20262408257,4
"92",10,4,0,1.01867008209229,1346.28252100945,4
"93",10,8,0,1.01895904541016,1355.33310294151,4
"94",10,4,0,1.01896095275879,1364.38331007957,4
"95",10,20,1,10.0217649936676,1382.43599390984,4
"96",10,4,0,1.01912403106689,1393.51722502708,4
"97",10,20,0,2.67640209197998,1404.22476696968,4
"98",10,4,0,1.02127408981323,1413.28639698029,4
"99",10,8,0,1.31671190261841,1422.63137888908,4
"100",10,8,1,10.0229380130768,1440.68866705894,4
"101",10,8,0,0.707032203674316,1451.45668697357,4
"102",10,4,0,0.518831968307495,1460.00180506706,4
"103",10,20,1,10.0223970413208,1478.05522894859,4
"104",10,20,1,10.0229058265686,1498.13970303535,4
"105",10,4,0,0.379698038101196,1508.57920789719,4
"106",10,8,0,0.614541053771973,1517.2319009304,4
"107",10,8,1,10.0227661132812,1535.29050803185,4
"108",10,8,1,10.0283870697021,1555.38000202179,4
"109",10,4,0,0.519644021987915,1565.95535707474,4
"110",10,20,1,10.0224940776825,1584.00785493851,4
"111",10,20,1,10.0230391025543,1604.09297394753,4
"112",10,4,0,0.535633087158203,1614.68946194649,4
"113",10,4,0,0.45732593536377,1623.17807507515,4
"114",10,8,1,10.0229761600494,1641.22714996338,4
"115",10,4,0,0.316077947616577,1651.60376811028,4
"116",10,20,1,10.0231759548187,1669.66182088852,4
"117",10,8,1,10.0229318141937,1689.7452480793,4
"118",14,4,0,0.487875938415527,1706.49198889732,5
"119",14,8,0,0.456402063369751,1710.97740793228,5
"120",14,20,1,14.0206191539764,1729.0252699852,5
"121",14,4,0,0.441649913787842,1735.53006100655,5
"122",14,20,1,14.0243208408356,1753.57939505577,5
"123",14,8,0,0.550662040710449,1760.18949699402,5
"124",14,4,0,0.613241195678711,1764.8354279995,5
"125",14,20,1,14.0291488170624,1782.90152406693,5
"126",14,4,0,0.517992973327637,1789.47412109375,5
"127",14,20,1,14.0237400531769,1807.52924704552,5
"128",14,8,0,0.191699981689453,1813.7802939415,5
"129",14,8,0,0.957408905029297,1818.76450991631,5
"130",14,4,0,0.518877983093262,1823.30879497528,5
"131",14,20,1,14.0294711589813,1841.36950397491,5
"132",14,4,0,0.503305912017822,1847.92713189125,5
"133",14,8,0,0.503239154815674,1852.46057796478,5
"134",14,20,1,14.0240800380707,1870.51443195343,5
"135",14,8,0,0.55115008354187,1877.12552690506,5
"136",14,8,0,0.566457033157349,1881.72480797768,5
"137",14,4,0,0.51900577545166,1886.27689504623,5
"138",14,20,1,14.024158000946,1904.33236908913,5
"139",14,20,1,14.0244400501251,1924.41610193253,5
"140",14,8,0,0.410276889801025,1930.88590908051,5
"141",14,4,0,0.347393989562988,1935.27316498756,5
"142",14,4,0,0.316329956054688,1939.62518310547,5
"143",14,4,0,0.300644874572754,1943.96003603935,5
"144",14,8,0,0.316936016082764,1948.30950498581,5
"145",14,20,1,14.0240659713745,1966.36662912369,5
"146",14,8,0,0.347877979278564,1972.77436304092,5
"147",14,20,1,14.0259418487549,1990.83561205864,5
"148",14,20,1,14.0240080356598,2010.91768097878,5
"149",14,8,0,0.331983089447021,2017.3110461235,5
"150",14,4,0,0.378817081451416,2021.72410798073,5
"151",14,8,0,0.112792015075684,2025.87552499771,5
"152",14,4,0,0.331712961196899,2030.24438905716,5
"153",14,20,1,14.0183320045471,2048.29715394974,5
"154",14,20,1,14.0202460289001,2068.3828690052,5
"155",14,4,0,0.222569942474365,2074.66947412491,5
"156",14,4,0,0.972330808639526,2079.66876006126,5
"157",14,20,1,14.0233759880066,2097.7199010849,5
"158",14,8,0,0.346319198608398,2104.12711000443,5
"159",14,8,0,0.316099166870117,2108.47972893715,5
"160",14,4,0,0.41028904914856,2112.92346191406,5
"161",14,8,0,0.910506963729858,2117.89112710953,5
"162",2,4,1,2.01946902275085,2130.19926595688,6
"163",2,8,0,0.737611055374146,2149.11729192734,6
"164",2,8,1,2.01921606063843,2167.16599392891,6
"165",2,4,1,2.01916122436523,2187.24963307381,6
"166",2,20,1,2.01910400390625,2207.31650996208,6
"167",2,20,1,2.02308487892151,2227.40451788902,6
"168",2,20,1,2.01951599121094,2247.48475289345,6
"169",2,8,1,2.02350687980652,2267.5721590519,6
"170",2,4,1,2.0238618850708,2287.65605211258,6
"171",2,20,1,2.01946592330933,2307.73579406738,6
"172",2,8,1,2.0193350315094,2327.81953692436,6
"173",2,4,0,0.143750905990601,2346.02765011787,6
"174",2,20,1,2.01919102668762,2364.08684492111,6
"175",2,20,1,2.01924705505371,2384.15390992165,6
"176",2,4,1,2.02371907234192,2404.24151110649,6
"177",2,8,1,2.01950287818909,2424.3214840889,6
"178",2,4,1,2.02694201469421,2444.39725399017,6
"179",2,8,1,2.02387499809265,2464.47852897644,6
"180",2,8,1,2.02377986907959,2484.56147503853,6
"181",2,8,1,2.02016115188599,2504.64225697517,6
"182",2,4,1,2.02010107040405,2524.72589612007,6
