"Handling","Reward","Choice","Task.RT","Choice.RT","Experiment.Time","Trial.Outcome","Task.Type","Task.Setup","Block"
2,4,1,0.582703113555908,1.99861621856689,9.05149412155151,"0",1,7,1
2,4,1,0,2.00072002410889,9.0535991191864,"Reward",0,0,1
2,20,1,0.900201082229614,1.99879002571106,29.1019570827484,"0",1,6,1
2,20,1,0,1.99900102615356,29.1021671295166,"Reward",0,0,1
2,8,1,0.746734142303467,2.01577997207642,49.1690001487732,"0",2,2,1
2,8,1,0,2.01709914207458,49.1703181266785,"Reward",0,0,1
2,20,2,0.99765419960022,2.01648712158203,69.2527101039886,"0",2,5,1
2,20,2,0,2.01754117012024,69.2537641525269,"Forced travel",0,0,1
2,8,1,0.615253925323486,2.01551699638367,87.3019661903381,"0",2,1,1
2,8,1,0,2.01573014259338,87.302178144455,"Reward",0,0,1
2,4,1,0.649737119674683,1.99890398979187,107.35190820694,"0",0,2,1
2,4,1,0,1.99911403656006,107.352117061615,"Reward",0,0,1
2,20,1,0.667450904846191,1.99934697151184,127.402070045471,"0",1,7,1
2,20,1,0,2.00041794776917,127.403140068054,"Reward",0,0,1
2,8,1,0.856169939041138,1.99912810325623,147.452068090439,"0",1,6,1
2,8,1,0,1.99933791160583,147.452277183533,"Reward",0,0,1
2,4,1,0.748754024505615,1.9985179901123,167.501760005951,"0",0,7,1
2,4,1,0,1.99872899055481,167.501970052719,"Reward",0,0,1
2,8,2,0.996994018554688,2.01579093933105,187.568744182587,"0",2,5,1
2,8,2,0,2.01684403419495,187.569796085358,"Forced travel",0,0,1
2,4,1,0.81321382522583,1.99892497062683,205.601994991302,"0",1,0,1
2,4,1,0,1.99913692474365,205.602205038071,"Reward",0,0,1
2,20,2,0.997069120407104,2.01580595970154,225.668587207794,"0",2,4,1
2,20,2,0,2.0169141292572,225.669695138931,"Forced travel",0,0,1
2,8,2,0.997314929962158,2.01524519920349,243.718192100525,"0",2,6,1
2,8,2,0,2.01541209220886,243.718358039856,"Forced travel",0,0,1
2,4,1,0.7427659034729,1.99933981895447,261.752024173737,"0",1,0,1
2,4,1,0,2.00038886070251,261.753072023392,"Reward",0,0,1
2,20,1,0.565572023391724,1.99902987480164,281.802043199539,"0",1,7,1
2,20,1,0,2.00009298324585,281.803105115891,"Reward",0,0,1
2,20,1,0.801361799240112,1.99878692626953,301.851811170578,"0",0,7,1
2,20,1,0,1.99900603294373,301.852029085159,"Reward",0,0,1
2,8,1,0.72369909286499,1.99845504760742,321.901380062103,"0",0,4,1
2,8,1,0,1.99979496002197,321.902719020844,"Reward",0,0,1
2,4,1,0.87826681137085,1.99902105331421,341.951943159103,"0",1,6,1
2,4,1,0,1.99923896789551,341.952161073685,"Reward",0,0,1
2,4,1,0.764595031738281,2.01494908332825,362.017878055573,"0",2,0,1
2,4,1,0,2.01518297195435,362.018110990524,"Reward",0,0,1
2,20,2,0.997114896774292,2.01593208312988,382.08544421196,"0",2,7,1
2,20,2,0,2.01703715324402,382.086548089981,"Forced travel",0,0,1
2,8,1,0.725480079650879,1.99897313117981,400.118483066559,"0",1,2,1
2,8,1,0,2.00002408027649,400.119533061981,"Reward",0,0,1
2,8,1,0.660974025726318,1.99979782104492,420.168521165848,"0",0,4,1
2,8,1,0,2.00000786781311,420.168730020523,"Reward",0,0,1
10,4,2,0.997103929519653,2.01601219177246,475.302049160004,"0",2,1,2
10,4,1,0.871623039245605,3.9984610080719,477.284499168396,"0",0,2,2
10,4,1,0.667302131652832,5.99913096427917,479.285169124603,"0",0,6,2
10,4,1,0.823457956314087,7.99891805648804,481.284957170486,"0",0,4,2
10,4,1,0.864904880523682,10.0157580375671,483.301796197891,"0",2,2,2
10,4,1,0,10.0159640312195,483.302000999451,"Reward",0,0,2
10,8,1,0.614099979400635,1.99913907051086,495.35168504715,"0",0,1,2
10,8,1,0.748897075653076,3.99910092353821,497.351647138596,"0",0,7,2
10,8,1,0.781219005584717,6.0158839225769,499.36842918396,"0",2,3,2
10,8,1,0.664541959762573,8.01587295532227,501.36841917038,"0",2,5,2
10,8,1,0.460608959197998,9.99920606613159,503.351752996445,"0",0,2,2
10,8,1,0,9.9994170665741,503.351962089539,"Reward",0,0,2
10,20,1,0.576874971389771,1.99894690513611,515.401767015457,"0",0,1,2
10,20,1,0.463815927505493,3.99892592430115,517.401746034622,"0",1,5,2
10,20,1,0.373363971710205,5.99899291992188,519.401813030243,"0",1,5,2
10,20,1,0.383469820022583,7.99917078018188,521.401991128922,"0",1,7,2
10,20,2,0.996499061584473,10.016254901886,523.419074058533,"0",2,5,2
10,20,1,0,10.0164589881897,523.419278144836,"Reward",0,0,2
10,20,1,0.385931015014648,1.99931812286377,535.468496084213,"0",1,5,2
10,20,1,0.592370986938477,3.99920797348022,537.468386173248,"0",1,1,2
10,20,1,0.4703528881073,5.99898195266724,539.468159198761,"0",0,6,2
10,20,1,0.378781080245972,7.99889707565308,541.468075037003,"0",0,4,2
10,20,1,0.678503036499023,9.99914002418518,543.46831703186,"0",1,2,2
10,20,1,0,9.99935293197632,543.468528985977,"Reward",0,0,2
10,8,1,0.59610915184021,1.99899697303772,555.518396139145,"0",0,7,2
10,8,1,0.660346031188965,3.99900317192078,557.518401145935,"0",0,5,2
10,8,1,0.504467964172363,5.99869203567505,559.518091201782,"0",0,1,2
10,8,2,0.997101068496704,8.01567101478577,561.535070180893,"0",2,5,2
10,8,1,0.591363906860352,9.99890303611755,563.518302202225,"0",0,1,2
10,8,1,0,9.99911308288574,563.5185110569,"Reward",0,0,2
10,4,1,0.728692054748535,1.9996349811554,575.568076133728,"0",0,3,2
10,4,1,0.506256103515625,3.99992609024048,577.568367004395,"0",0,3,2
10,4,2,0.963994026184082,5.99976706504822,579.568207979202,"0",2,4,2
10,4,1,0.715188980102539,7.99966311454773,581.568104028702,"0",2,2,2
10,4,1,0.957313060760498,9.99991798400879,583.568359136581,"0",1,7,2
10,4,1,0,10.0001261234283,583.568566083908,"Reward",0,0,2
10,8,1,0.915569067001343,2.01580119132996,595.635049104691,"0",2,4,2
10,8,1,0.723974943161011,4.0157949924469,597.635043144226,"0",0,4,2
10,8,1,0.549217939376831,5.99909520149231,599.618343114853,"0",0,7,2
10,8,1,0.555244922637939,7.99882507324219,601.618072986603,"0",0,1,2
10,8,2,0.99730110168457,10.0159950256348,603.635241985321,"0",2,2,2
10,8,1,0,10.0162019729614,603.635449171066,"Reward",0,0,2
10,20,1,0.684246063232422,1.99827790260315,615.684710025787,"0",0,7,2
10,20,2,0.813022136688232,4.01528787612915,617.701719999313,"0",2,7,2
10,20,2,0.996807813644409,6.01517581939697,619.701608181,"0",2,6,2
