"","Handling","Offer","Choice","RT","Experiment.Time","Block"
"1",10,20,2,8.00133609771729,15.0415899753571,1
"2",10,8,1,10.000118970871,33.075131893158,1
"3",10,20,1,10.0164580345154,53.158707857132,1
"4",10,4,0,0.552767992019653,63.7618789672852,1
"5",10,8,1,10.0164301395416,81.8087229728699,1
"6",10,4,1,9.99976706504822,101.85911989212,1
"7",10,4,0,0.40173602104187,112.311652898788,1
"8",10,8,1,10.0009999275208,130.344006061554,1
"9",10,20,1,10.0175678730011,150.410754919052,1
"10",10,4,1,10.0161879062653,170.476604938507,1
"11",10,20,1,10.0163059234619,190.543417930603,1
"12",10,8,2,6.01635479927063,206.610208034515,1
"13",10,4,1,10.000522851944,224.644585847855,1
"14",10,8,1,9.99935007095337,244.693923950195,1
"15",10,20,2,6.01592206954956,260.760804891586,1
"16",10,4,1,9.99957489967346,278.794375896454,1
"17",10,20,0,1.53568601608276,290.380645990372,1
"18",10,8,1,9.9997730255127,308.411350011826,1
"19",10,4,1,10.0005419254303,328.462355852127,1
"20",10,20,1,10.0165400505066,348.528416872025,1
"21",10,8,1,9.9991250038147,368.578135967255,1
"22",10,8,1,9.99927091598511,388.628541946411,1
"23",10,20,1,9.99918103218079,408.678825855255,1
"24",10,4,0,0.322597026824951,419.05203795433,1
"25",14,20,1,14.0159969329834,447.562676906586,2
"26",14,4,0,0.278180122375488,453.89146900177,2
"27",14,8,1,13.9994919300079,471.929657936096,2
"28",14,4,0,0.514913082122803,478.494904994965,2
"29",14,20,1,13.9992690086365,496.529614925385,2
"30",14,8,1,14.0009088516235,516.581179857254,2
"31",14,4,0,0.312042951583862,522.942591905594,2
"32",14,20,1,13.9995279312134,540.980362892151,2
"33",14,8,1,14.0176448822021,561.048347949982,2
"34",14,8,1,14.0161561965942,581.113837003708,2
"35",14,20,2,8.01732516288757,595.181756019592,2
"36",14,4,0,0.293956995010376,599.508338928223,2
"37",14,4,1,13.9991590976715,617.547591924667,2
"38",14,20,1,13.9998741149902,637.598001003265,2
"39",14,8,1,14.0006999969482,657.649177074432,2
"40",14,4,0,0.268045902252197,663.966925859451,2
"41",14,20,1,14.0164270401001,682.015151023865,2
"42",14,8,1,13.9996511936188,702.06537604332,2
"43",14,8,0,0.27587103843689,708.391882896423,2
"44",14,4,0,0.434937000274658,712.867652893066,2
"45",14,20,1,13.9995539188385,730.89874792099,2
"46",14,20,1,14.0162298679352,750.965702056885,2
"47",14,8,1,13.9998049736023,771.016063928604,2
"48",14,4,0,0.117844820022583,777.18443107605,2
"49",14,20,1,14.0006530284882,795.217479944229,2
"50",14,4,0,0.43386697769165,801.700830936432,2
"51",14,4,0,0.317341089248657,806.050091028214,2
"52",14,8,1,14.017343044281,824.100816011429,2
"53",14,20,1,14.0166070461273,844.166841983795,2
"54",2,4,2,2.00016283988953,858.150833845139,3
"55",2,20,1,2.01641917228699,876.200495004654,3
"56",2,8,1,2.01683306694031,896.267905950546,3
"57",2,4,1,2.00033688545227,916.318381071091,3
"58",2,8,1,2.00032806396484,936.367537975311,3
"59",2,20,1,2.01556181907654,956.433701038361,3
"60",2,8,1,2.01585984230042,976.501491069794,3
"61",2,20,1,1.999755859375,996.551956892014,3
"62",2,4,1,2.00056195259094,1016.60305905342,3
"63",2,8,1,2.0011739730835,1036.65382003784,3
"64",2,4,1,1.99947309494019,1056.70208597183,3
"65",2,20,1,2.00018715858459,1076.75309801102,3
"66",2,8,1,1.99927997589111,1096.80244803429,3
"67",2,4,1,2.00006222724915,1116.90300703049,3
"68",2,4,1,2.00046300888062,1136.95398592949,3
"69",2,20,1,2.00045394897461,1157.00415897369,3
"70",2,8,1,2.01752090454102,1177.07136106491,3
"71",2,20,1,2.01590085029602,1197.13668107986,3
"72",2,4,2,2.01723504066467,1217.20478701591,3
"73",2,8,1,2.01581287384033,1235.25385189056,3
"74",2,20,1,2.00110101699829,1255.30518293381,3
"75",10,8,2,9.99873304367065,1374.27128100395,4
"76",10,20,1,9.99958300590515,1392.30457186699,4
"77",10,20,2,8.00012707710266,1410.35587596893,4
"78",10,8,1,9.99942684173584,1428.38911986351,4
