"Handling","Reward","Choice","Task.RT","Choice.RT","Experiment.Time","Trial.Outcome","Task.Type","Task.Setup","Block"
2,20,1,0.901721000671387,1.99908995628357,9.05063796043396,"0",0,0,1
2,20,1,0,1.9994490146637,9.05099701881409,"Reward",0,0,1
2,4,1,0.793044090270996,1.99900817871094,29.1173269748688,"0",0,6,1
2,4,1,0,1.99922108650208,29.1175389289856,"Reward",0,0,1
2,4,1,0.660697937011719,1.9988739490509,49.1679470539093,"0",0,5,1
2,4,1,0,1.99987697601318,49.1689488887787,"Reward",0,0,1
2,8,1,0.813206911087036,1.99902415275574,69.2183229923248,"0",1,4,1
2,8,1,0,2.00034213066101,69.2196400165558,"Reward",0,0,1
2,8,1,0.946791887283325,2.01597285270691,89.2853920459747,"0",2,7,1
2,8,1,0,2.01618981361389,89.2856080532074,"Reward",0,0,1
2,20,1,0.984777927398682,1.99942588806152,109.336214065552,"0",1,1,1
2,20,1,0,2.00156188011169,109.338348865509,"Reward",0,0,1
2,4,1,0.777626991271973,1.99911689758301,129.386312007904,"0",1,5,1
2,4,1,0,1.99932909011841,129.386523008347,"Reward",0,0,1
2,20,1,0.732200860977173,1.99931192398071,149.436532020569,"0",1,0,1
2,20,1,0,2.0003399848938,149.437558889389,"Reward",0,0,1
2,4,1,0.695663928985596,1.99936389923096,169.503793001175,"0",1,6,1
2,4,1,0,2.00033211708069,169.504760026932,"Reward",0,0,1
2,20,1,0.708487987518311,1.99880599975586,189.55375790596,"0",0,6,1
2,20,1,0,1.99901509284973,189.553965091705,"Reward",0,0,1
2,8,1,0.817646026611328,1.99904084205627,209.604377031326,"0",1,2,1
2,8,1,0,1.99925184249878,209.604587078094,"Reward",0,0,1
2,8,1,0.676542043685913,1.99919295310974,229.654720067978,"0",1,2,1
2,8,1,0,2.00018191337585,229.65570807457,"Reward",0,0,1
2,20,1,0.981017112731934,2.01553297042847,249.721656084061,"0",2,0,1
2,20,1,0,2.01574206352234,249.721863985062,"Reward",0,0,1
2,8,1,0.828248977661133,1.99868702888489,269.771977901459,"0",0,6,1
2,8,1,0,1.99890899658203,269.772198915482,"Reward",0,0,1
2,4,1,0.948671817779541,2.01597595214844,289.839246034622,"0",2,4,1
2,4,1,0,2.01700711250305,289.840276002884,"Reward",0,0,1
2,20,1,0.765329837799072,2.01589512825012,309.906215906143,"0",2,4,1
2,20,1,0,2.01610517501831,309.906424999237,"Reward",0,0,1
2,4,1,0.829910039901733,1.99927997589111,329.956670999527,"0",0,7,1
2,4,1,0,2.00023889541626,329.957629919052,"Reward",0,0,1
2,8,2,0.995836973190308,2.01529407501221,350.023479938507,"0",2,0,1
2,8,2,0,2.01739501953125,350.025579929352,"Forced travel",0,0,1
2,20,1,0.593807935714722,1.99924182891846,368.057419061661,"0",0,4,1
2,20,1,0,1.99945092201233,368.057626962662,"Reward",0,0,1
2,8,1,0.624360084533691,1.99913692474365,388.107721090317,"0",1,7,1
2,8,1,0,1.99936199188232,388.107944965363,"Reward",0,0,1
2,4,1,0.684283018112183,1.99896502494812,408.158155918121,"0",1,3,1
2,4,1,0,1.99993491172791,408.159125089645,"Reward",0,0,1
10,8,1,0.932813882827759,2.01585602760315,434.892020940781,"0",2,2,2
10,8,1,0.689359903335571,3.99914503097534,436.875309944153,"0",0,0,2
10,8,1,0.609263896942139,5.99901485443115,438.875180006027,"0",0,0,2
10,8,1,0.710529088973999,7.99905896186829,440.875223875046,"0",0,2,2
10,8,1,0.693722009658813,9.9993269443512,442.875491857529,"0",1,5,2
10,8,1,0,9.99953603744507,442.875699996948,"Reward",0,0,2
10,8,1,0.529260158538818,1.99844408035278,454.925196886063,"0",1,5,2
10,8,1,0.675974130630493,4.0156991481781,456.942451953888,"0",0,7,2
10,8,1,0.797914981842041,6.01573204994202,458.942484855652,"0",2,1,2
10,8,1,0.648218870162964,8.01574897766113,460.94250202179,"0",2,7,2
10,8,1,0.710999965667725,9.99887108802795,462.925623893738,"0",1,2,2
10,8,1,0,9.99908113479614,462.925832986832,"Reward",0,0,2
10,4,1,0.798805952072144,2.01625204086304,474.993048906326,"0",2,1,2
10,4,1,0.639878988265991,3.99936604499817,476.976162910461,"0",1,2,2
10,4,1,0.491229057312012,5.99934911727905,478.976146936417,"0",1,3,2
10,4,1,0.606502056121826,7.99949097633362,480.97628903389,"0",0,5,2
10,4,1,0.450276136398315,9.99921011924744,482.976007938385,"0",0,3,2
10,4,1,0,9.99941897392273,482.976216077805,"Reward",0,0,2
10,20,1,0.660137891769409,1.99867796897888,495.026259899139,"0",0,5,2
10,20,1,0.627948999404907,3.99895405769348,497.026536941528,"0",0,2,2
10,20,1,0.609786033630371,5.99903011322021,499.026612997055,"0",1,4,2
10,20,1,0.714890956878662,8.01569104194641,501.043273925781,"0",2,7,2
10,20,1,0.593617916107178,9.99905705451965,503.026639938354,"0",0,7,2
10,20,1,0,10.0003728866577,503.027953863144,"Reward",0,0,2
10,4,1,0.592476844787598,1.99895691871643,515.076842069626,"0",1,7,2
10,4,1,0.648453950881958,4.01547694206238,517.093362092972,"0",2,0,2
10,4,1,0.570006847381592,5.99906396865845,519.076948881149,"0",0,5,2
