"Handling","Reward","Choice","RT","Experiment.Time","Block"
14,20,1,14.0274541378021,21.0700650215149,1
14,8,1,14.0200769901276,41.1454541683197,1
14,20,1,14.0276250839233,61.2203960418701,1
14,4,1,14.0271420478821,81.3030819892883,1
14,8,1,14.0270659923553,101.386358976364,1
14,4,1,14.0264329910278,121.468690156937,1
14,8,0,0.191211938858032,127.717502117157,1
14,20,1,14.028048992157,145.770591974258,1
14,8,1,14.0265419483185,165.85255408287,1
14,4,1,14.0335760116577,185.942727088928,1
14,20,1,14.0208649635315,206.013437986374,1
14,4,1,14.0278480052948,226.103754997253,1
14,20,0,0.113219022750854,232.272220134735,1
14,4,0,0.378969192504883,236.688163995743,1
14,8,1,14.0227198600769,254.748303174973,1
14,20,1,14.0262250900269,274.835376977921,1
14,4,1,14.02619099617,294.918359994888,1
14,8,1,14.019159078598,314.994961977005,1
14,20,1,14.0261340141296,335.068420171738,1
14,20,1,14.0264317989349,355.152650117874,1
14,4,1,14.0265560150146,375.237272977829,1
14,8,1,14.0265390872955,395.320564985275,1
14,4,1,14.0261499881744,415.403428077698,1
10,4,1,10.0241539478302,437.96574306488,2
10,20,1,10.033509016037,458.108844041824,2
10,8,1,10.0275599956512,478.186594009399,2
10,20,1,10.0239889621735,498.266090154648,2
10,8,1,10.0230669975281,518.3482670784,2
10,4,0,0.363479852676392,528.772107124329,2
10,4,1,10.0239548683167,546.832627058029,2
10,8,1,10.0271399021149,566.918939113617,2
10,4,1,10.0313038825989,587.006486177444,2
10,20,1,10.0240111351013,607.082524061203,2
10,8,1,10.0238349437714,627.165770053864,2
10,20,1,10.0244019031525,647.249550104141,2
10,4,1,10.0275869369507,667.335997104645,2
10,20,1,10.0236859321594,687.415538072586,2
10,20,1,10.023777961731,707.498739004135,2
10,8,1,10.0238749980927,727.582523107529,2
10,8,1,10.0239200592041,747.667361974716,2
10,4,1,10.0239069461823,767.750744104385,2
10,4,1,10.0225338935852,787.829388141632,2
10,4,1,10.0236721038818,807.916188955307,2
10,20,1,10.0238530635834,828.000084161758,2
10,8,1,10.0238461494446,848.08319401741,2
2,4,1,2.02010107040405,866.645344018936,3
2,8,1,2.01971697807312,886.72789311409,3
2,8,1,2.01914715766907,906.810400009155,3
2,20,1,2.01968812942505,926.877840042114,3
2,20,1,2.01940417289734,946.960431098938,3
2,4,1,2.01936602592468,967.043838977814,3
2,8,1,2.01963806152344,987.109704017639,3
2,8,1,2.01932907104492,1007.17692804337,3
2,4,1,2.01955008506775,1027.3274769783,3
2,20,1,2.01911211013794,1047.4102730751,3
2,20,1,2.01954507827759,1067.47630405426,3
2,4,1,2.02263998985291,1087.54724407196,3
2,20,1,2.01927089691162,1107.62700510025,3
2,8,1,2.01960206031799,1127.6937110424,3
2,4,1,2.01932120323181,1147.76022005081,3
2,20,1,2.02316188812256,1167.84934306145,3
2,8,1,2.01986193656921,1187.92931604385,3
2,4,1,2.01937794685364,1208.01211214066,3
2,20,1,2.02031397819519,1228.09577417374,3
2,20,1,2.02031898498535,1248.17973995209,3
2,4,1,2.0201587677002,1268.26207304001,3
14,8,1,14.0286798477173,1324.15291404724,4
14,8,1,14.0191419124603,1344.22622609138,4
14,4,1,14.0209021568298,1364.29500699043,4
14,20,1,14.0253858566284,1384.38292694092,4
14,4,1,14.0243880748749,1404.46513700485,4
14,20,1,14.0244679450989,1424.54842615128,4
14,4,1,14.0249102115631,1444.63221406937,4
14,20,1,14.0244779586792,1464.71498608589,4
14,8,1,14.0262320041656,1484.79994416237,4
14,20,1,14.0194749832153,1504.87668299675,4
14,4,1,14.0247709751129,1524.96531796455,4
14,8,1,14.0253109931946,1545.04876112938,4
14,20,1,14.0249969959259,1565.13211107254,4
14,4,1,14.0250680446625,1585.2153840065,4
14,4,1,14.0249559879303,1605.29823708534,4
14,8,1,14.0230531692505,1625.38124799728,4
14,20,1,14.024600982666,1645.46677494049,4
14,8,1,14.0325629711151,1665.55740714073,4
14,8,1,14.024570941925,1685.63135814667,4
14,8,1,14.0245699882507,1705.71462416649,4
14,20,1,14.0284459590912,1725.80203509331,4
10,4,1,10.0281279087067,1748.43501615524,5
10,4,0,0.159720897674561,1758.64959311485,5
10,8,1,10.0231900215149,1776.69668507576,5
10,20,1,10.0291731357574,1796.78596901894,5
10,20,1,10.0230889320374,1816.86313414574,5
10,8,1,10.0226829051971,1836.94610595703,5
10,20,1,10.0231449604034,1857.02982997894,5
10,8,1,10.02272605896,1877.11270999908,5
10,20,1,10.0231938362122,1897.19628810883,5
10,8,0,1.01915502548218,1908.27580404282,5
10,4,1,10.0228700637817,1926.32828712463,5
10,4,1,10.0232729911804,1946.41287398338,5
10,8,1,10.0190711021423,1966.49228906631,5
10,20,1,10.0209259986877,1986.56072402,5
10,20,0,6.91258907318115,2003.53547501564,5
10,8,1,10.023334980011,2021.59648299217,5
10,4,1,10.0265209674835,2041.68296313286,5
10,4,1,10.0203330516815,2061.76119208336,5
10,4,1,10.0231001377106,2081.84784197807,5
10,20,1,10.0220730304718,2101.92953705788,5
10,8,1,10.0229330062866,2122.01432800293,5
10,4,1,10.0228757858276,2142.09762406349,5
2,8,1,2.01925706863403,2160.80884599686,6
2,4,1,2.01911997795105,2180.87527298927,6
2,20,1,2.02382779121399,2200.96328210831,6
2,20,1,2.02379703521729,2221.04650115967,6
2,4,1,2.0231020450592,2241.12906599045,6
2,8,0,0.113762855529785,2259.30310511589,6
2,4,1,2.01937413215637,2277.35833001137,6
2,8,0,0.0656919479370117,2295.47162294388,6
2,8,1,2.01921916007996,2313.52575397491,6
2,4,1,2.01921892166138,2333.60847496986,6
2,20,1,2.01926684379578,2353.67527413368,6
2,20,1,2.01929903030396,2373.75846505165,6
2,8,1,2.01939916610718,2393.95852208138,6
2,4,1,2.01912593841553,2414.02468800545,6
2,8,1,2.0191969871521,2434.09180116653,6
2,20,1,2.02459597587585,2454.18029499054,6
2,4,0,0.206589937210083,2472.44684696198,6
2,20,1,2.01989388465881,2490.49420309067,6
2,20,1,2.01944708824158,2510.57638597488,6
2,4,0,0.566236019134521,2529.20715308189,6
2,20,1,2.01955795288086,2547.25985217094,6
2,8,1,2.02064394950867,2567.34483408928,6
