"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"1","WAIT",10,20,1,10.0175719261169,17.0595259666443,"Reward",1,1
"2","WAIT",10,8,1,10.0167219638824,37.1263811588287,"Reward",1,1
"3","GRIP",10,4,0,1.1607940196991,47.1764571666718,"OfferQuit",1,1
"4","GRIP",10,20,1,10.0223429203033,65.2318840026855,"Reward",1,1
"5","GRIP",10,8,1,10.0222280025482,85.3157019615173,"Reward",1,1
"6","WAIT",10,4,0,1.17314696311951,95.3770260810852,"OfferQuit",1,1
"7","WAIT",10,4,0,1.01119613647461,103.410340070724,"OfferQuit",1,1
"8","GRIP",10,20,1,10.0221199989319,121.465715169907,"Reward",1,1
"9","WAIT",10,20,1,10.0172188282013,141.544169187546,"Reward",1,1
"10","GRIP",10,4,0,1.01204109191895,151.593816041946,"OfferQuit",1,1
"11","GRIP",10,8,0,1.18528890609741,159.627838134766,"OfferQuit",1,1
"12","WAIT",10,8,1,10.0165679454803,177.677875995636,"Reward",1,1
"13","WAIT",10,4,0,0.863510131835938,187.728366136551,"OfferQuit",1,1
"14","WAIT",10,20,1,10.0166580677032,205.778262138367,"Reward",1,1
"15","GRIP",10,8,1,10.0221400260925,225.850000143051,"Reward",1,1
"16","WAIT",10,8,1,10.0167460441589,245.928709983826,"Reward",1,1
"17","GRIP",10,20,1,10.0223908424377,266.001172065735,"Reward",1,1
"18","GRIP",10,4,1,10.0219130516052,286.084304094315,"Reward",1,1
"19","WAIT",10,20,1,10.0168209075928,306.162655115128,"Reward",1,1
"20","WAIT",10,8,0,0.284837961196899,316.497778177261,"Quit",1,1
"21","GRIP",10,4,0,1.29888391494751,324.52959895134,"OfferQuit",1,1
"22","GRIP",10,8,1,10.0221228599548,342.58557510376,"Reward",1,1
"23","WAIT",10,4,0,1.98644781112671,352.64651799202,"OfferQuit",1,1
"24","GRIP",10,20,1,10.0215981006622,370.701213121414,"Reward",1,1
"25","WAIT",10,20,1,10.0173411369324,390.763641119003,"Reward",1,1
"26","GRIP",10,20,1,10.021861076355,410.834939002991,"Reward",1,1
"27","WAIT",10,8,1,10.0172719955444,437.397456169128,"Reward",2,0
"28","COGNITIVE",10,20,1,10.0003528594971,457.448186159134,"Reward",2,0
"29","WAIT",10,20,1,10.0169959068298,477.514674186707,"Reward",2,0
"30","WAIT",10,4,0,1.06436204910278,487.563786029816,"OfferQuit",2,0
"31","COGNITIVE",10,4,0,1.83603000640869,495.59806895256,"OfferQuit",2,0
"32","COGNITIVE",10,8,2,8.00068306922913,511.632383108139,"Forced Travel",2,0
"33","WAIT",10,20,1,10.0172679424286,529.681885957718,"Reward",2,0
"34","WAIT",10,8,1,10.0166480541229,549.748733997345,"Reward",2,0
"35","WAIT",10,4,0,1.13490509986877,559.79900097847,"OfferQuit",2,0
"36","COGNITIVE",10,8,1,10.0007109642029,577.832870960236,"Reward",2,0
"37","COGNITIVE",10,4,0,0.997568130493164,587.882563114166,"OfferQuit",2,0
"38","COGNITIVE",10,20,1,10.0006508827209,605.917202949524,"Reward",2,0
"39","COGNITIVE",10,20,1,10.0004050731659,625.966717004776,"Reward",2,0
"40","COGNITIVE",10,8,0,1.45956516265869,636.083036184311,"OfferQuit",2,0
"41","COGNITIVE",10,4,0,0.900706052780151,644.116858005524,"OfferQuit",2,0
"42","WAIT",10,4,0,1.1902060508728,652.14981508255,"OfferQuit",2,0
"43","WAIT",10,8,1,10.0167610645294,670.200025081635,"Reward",2,0
"44","WAIT",10,20,1,10.01646900177,690.267030954361,"Reward",2,0
"45","WAIT",10,8,1,10.0165660381317,710.333853006363,"Reward",2,0
"46","COGNITIVE",10,4,0,1.16499805450439,720.38366317749,"OfferQuit",2,0
"47","COGNITIVE",10,8,1,10.0017819404602,738.41911315918,"Reward",2,0
"48","WAIT",10,4,0,1.25846695899963,748.467180967331,"OfferQuit",2,0
"49","COGNITIVE",10,20,1,10.000470161438,766.50159406662,"Reward",2,0
"50","WAIT",10,20,1,10.016587972641,786.568008184433,"Reward",2,0
"51","WAIT",10,4,0,1.28378796577454,796.618000984192,"OfferQuit",2,0
"52","WAIT",10,20,1,10.0165188312531,814.668320178986,"Reward",2,0
"53","COGNITIVE",10,20,1,10.0003590583801,834.718701124191,"Reward",2,0
"54","WAIT",10,4,0,0.816715955734253,851.185116052628,"OfferQuit",3,1
"55","GRIP",10,8,1,10.0256638526917,869.244063138962,"Reward",3,1
"56","WAIT",10,20,1,10.0172498226166,889.319208145142,"Reward",3,1
"57","GRIP",10,20,1,10.0209381580353,909.390228033066,"Reward",3,1
"58","GRIP",10,4,0,1.43247485160828,919.436758995056,"OfferQuit",3,1
"59","WAIT",10,8,1,10.0168199539185,937.486443042755,"Reward",3,1
"60","WAIT",10,4,0,1.25149989128113,947.536674022675,"OfferQuit",3,1
"61","GRIP",10,4,0,0.804982900619507,955.569873094559,"OfferQuit",3,1
"62","WAIT",10,20,1,10.0167682170868,973.620104074478,"Reward",3,1
"63","GRIP",10,8,1,10.0339980125427,993.703830003738,"Reward",3,1
"64","WAIT",10,8,1,10.0169489383698,1013.77060818672,"Reward",3,1
"65","GRIP",10,20,1,10.0206379890442,1033.84139513969,"Reward",3,1
"66","WAIT",10,4,0,1.42682695388794,1043.88736414909,"OfferQuit",3,1
"67","GRIP",10,4,0,1.08752202987671,1051.92094016075,"OfferQuit",3,1
"68","WAIT",10,8,1,10.0168719291687,1069.97128510475,"Reward",3,1
"69","WAIT",10,20,1,10.0167608261108,1090.03811407089,"Reward",3,1
"70","GRIP",10,20,1,10.0238580703735,1110.11165595055,"Reward",3,1
"71","GRIP",10,8,1,10.0296721458435,1130.28485202789,"Reward",3,1
"72","GRIP",10,20,1,10.0206689834595,1150.35954403877,"Reward",3,1
"73","GRIP",10,4,0,1.07970094680786,1160.40558409691,"OfferQuit",3,1
"74","WAIT",10,8,1,10.0171029567719,1178.45572900772,"Reward",3,1
"75","WAIT",10,20,1,10.0167601108551,1198.52262806892,"Reward",3,1
"76","WAIT",10,4,0,1.07217597961426,1208.57279014587,"OfferQuit",3,1
"77","GRIP",10,8,1,10.0207359790802,1226.62686800957,"Reward",3,1
"78","WAIT",10,8,1,10.0170769691467,1246.6897881031,"Reward",3,1
"79","GRIP",10,20,1,10.0204241275787,1266.76038908958,"Reward",3,1
